generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21
37,3800,405,149721,37810.2,39092.2,-21.9328,9.63645,-11.7459,-1.49202,-6.27959,-4.76046,-1.5814,-5.6656,-2.19264,-7.09759,5.33596,-15.3672,-11.9658,-14.0843,-10.5895,-12.1596,-10.2732,-14.536,-9.05071,-22.6456,-11.6644,-76.4815
38,3900,1318,106621,32153.3,29008.7,-22.9012,9.63689,-11.8365,-0.744688,-5.07549,-4.69158,-0.566159,-3.90277,-1.23159,-6.80669,6.70146,-14.356,-10.8526,-13.5272,-10.9126,-12.7817,-9.41926,-15.8273,-9.12749,-22.6017,-11.4138,-77.1406
39,4000,466,169969,39862.8,36419.3,-23.1056,10.1778,-11.0017,-1.00264,-3.54567,-4.70968,-1.17683,-2.96124,-1.20202,-5.38595,5.67189,-15.4082,-12.0244,-14.0345,-10.2027,-13.4926,-9.28411,-16.3245,-9.40231,-22.8615,-11.1564,-77.3908
40,4100,479,145712,46839.9,38282.5,-22.5089,9.9509,-9.86511,-2.03072,-4.71426,-5.12791,-0.576534,-3.31576,-1.91074,-5.60796,6.78881,-15.8528,-10.4338,-13.4036,-11.4707,-14.6918,-9.51387,-17.0507,-8.90279,-22.5644,-10.5778,-77.9462
41,4200,3576,236700,62329.6,61741.2,-22.7979,10.5549,-10.2282,-0.629956,-3.91364,-5.72217,-0.00287385,-2.62092,-2.08899,-5.35458,7.44515,-15.7478,-10.4844,-13.2404,-11.2886,-14.7506,-9.62729,-16.6337,-8.37397,-23.0756,-11.9905,-78.3357
42,4300,3894,215628,49828.8,48575,-23.3415,10.6349,-9.81891,-0.496783,-3.99559,-5.85944,0.167834,-1.82633,-2.12969,-6.8061,7.41119,-16.8223,-11.0113,-14.3132,-12.0246,-14.7675,-9.33417,-16.0175,-8.08876,-22.3593,-11.3376,-78.7913
43,4400,3154,154286,53582.1,36697.8,-23.1412,10.4854,-9.85811,-1.22843,-3.25006,-5.42872,-0.117456,-1.63911,-1.13043,-6.38211,7.66293,-16.5661,-10.5483,-14.419,-11.9349,-15.1677,-8.95876,-16.2752,-8.90558,-21.8095,-11.4367,-78.4372
44,4500,1292,208339,57108.6,46338.4,-23.022,12.4652,-10.1411,-0.887559,-3.02528,-4.70317,0.479819,-1.98123,0.153466,-5.73619,7.40658,-17.0545,-10.7988,-15.4149,-11.9949,-15.0224,-8.81035,-15.9737,-8.24167,-21.4467,-10.7755,-79.095
45,4600,911,166547,54380.3,39294.1,-22.1223,12.4157,-9.68201,-1.86933,-2.30658,-4.53626,0.636764,-2.0849,-0.122719,-5.89029,6.93891,-17.4468,-11.8867,-16.4085,-12.1174,-14.3988,-8.45734,-16.9492,-8.84828,-21.555,-11.5284,-79.7369
46,4700,863,253313,68029,59796.3,-21.8265,12.692,-10.317,-1.3537,-2.5464,-3.74544,0.778745,-1.92386,0.0380497,-5.6592,7.7148,-16.8596,-12.6116,-15.1814,-12.5225,-14.2085,-9.46545,-16.8951,-9.22077,-21.6153,-11.2035,-79.9951
47,4800,1479,252939,85631.8,69492.8,-20.9108,12.668,-10.8694,-1.15949,-1.8506,-3.83307,0.648711,-1.56567,0.317263,-6.2091,8.76576,-16.9127,-12.4356,-15.4483,-12.484,-14.849,-9.91664,-17.7232,-9.32533,-21.3615,-11.2257,-79.76
48,4900,3651,272130,75797.8,61960.4,-21.2055,13.776,-11.2668,-1.49592,-1.699,-3.9139,0.533845,-1.17509,-0.0419254,-6.79034,8.63661,-16.9877,-12.5376,-15.3247,-12.4092,-15.3659,-8.87426,-18.4615,-9.21121,-21.4127,-11.1133,-79.7892
49,5000,3065,318748,103632,88156.1,-21.0229,14.4028,-10.7999,-1.14435,-2.15055,-3.57639,-0.123475,-1.2657,0.465718,-6.54045,8.51652,-17.08,-12.5971,-15.5187,-11.7995,-15.404,-9.47749,-18.5065,-9.35046,-20.958,-10.7325,-79.1941
50,5100,12750,238977,86744.2,68585.2,-20.7108,14.7291,-10.6823,-1.23303,-1.90379,-1.98575,-0.20479,-1.22979,0.705259,-6.46351,9.01069,-17.3356,-12.4667,-15.42,-11.5937,-15.4195,-9.59622,-18.5924,-9.1661,-20.6142,-10.2018,-79.0533
51,5200,1394,368985,82129.5,92998,-20.8346,14.4151,-10.8841,-0.640915,-2.86368,-1.81852,0.100323,-1.08715,0.289797,-7.07555,9.12045,-17.1657,-12.6732,-15.5166,-11.4154,-15.4441,-9.66707,-18.5341,-9.12435,-21.0781,-10.3373,-78.7522
52,5300,58,513918,113452,118749,-20.5677,14.3826,-10.8175,-0.767451,-3.50641,-1.55324,0.0404741,-1.10597,-0.0811084,-7.21872,9.41207,-17.2925,-12.5984,-15.4855,-11.5109,-15.5823,-10.6024,-18.2229,-9.16616,-21.3244,-9.87356,-78.8379
