generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29
101,20400,2432,327828,94178.7,82838.8,34.1771,16.6726,-14.0687,-0.00291477,-3.58935,-6.24043,-1.81632,-5.06297,-0.902606,-13.0009,17.7171,-30.6751,-20.0575,-25.2004,-20.5181,-24.3667,-21.6087,-22.2628,-18.3428,-29.3429,-11.7045,-120.915,2432,2718,3204,11598,11764,15682,21468,23532,28972,31795,45528,47722,50767,59474,73225,76294,94392,94492,108375,115010,119317,130025,135444,166120,192219,192228,194097,222265,227373,327828
102,20600,11680,826499,131591,163562,35.4818,17.0522,-13.0285,-0.725406,-3.60421,-5.76214,-1.42041,-4.99796,-0.805924,-13.5763,16.6496,-30.4626,-19.6658,-24.8673,-21.7708,-24.1712,-21.223,-23.1776,-17.9615,-29.118,-11.1921,-121.277,11680,12726,13758,18920,24699,25585,28703,41984,42045,42092,49903,50149,50956,51308,68518,75330,81813,117405,120391,132786,136193,140219,143406,182879,191299,296819,306652,327861,335138,826499
103,20800,34927,451403,169865,120069,38.7854,16.0814,-13.6803,-0.151268,-3.60906,-4.9065,-1.11698,-5.68824,0.0887722,-14.45,16.9014,-30.8335,-18.8597,-25.4242,-22.526,-24.4628,-20.5404,-23.7961,-17.2788,-28.5199,-11.6866,-121.598,34927,37218,39688,45568,49092,60688,61981,70411,72165,75737,91146,92874,98159,106702,109640,115885,123555,201857,226968,227577,237968,255155,267761,294209,306608,308150,324970,351339,356550,451403
104,21000,1462,503804,156368,143936,37.9122,16.7322,-12.9211,0.320537,-2.99431,-5.1452,-1.25733,-5.36979,1.1083,-15.0521,17.0513,-31.5142,-18.6935,-26.126,-22.1946,-24.4162,-20.0526,-24.3007,-17.0007,-28.8179,-11.9119,-122.068,1462,5365,10141,12304,17417,17834,26106,43147,43234,55464,81509,89158,94516,95885,116528,118789,120167,147961,154735,198326,207075,209009,213248,245915,265399,341062,352353,430720,472393,503804
105,21200,6561,669629,144780,161584,34.6906,16.7419,-13.3584,-0.0843648,-2.09435,-5.45314,-0.699015,-4.91603,1.62905,-15.7104,16.9144,-31.9552,-18.0989,-26.9398,-21.8837,-24.7372,-21.1272,-23.9938,-17.309,-30.2997,-11.9068,-123.582,6561,7205,7911,13289,20517,20944,25078,45479,48998,49066,53805,60662,66041,69826,86104,87422,90136,121553,135475,144317,160457,164673,208094,210489,232063,271190,340558,354511,571343,669629
106,21400,2999,666266,115874,137113,35.6762,17.0443,-13.5976,-0.377938,-2.67085,-4.76641,-2.42223,-5.0646,2.29596,-15.7204,17.0371,-31.8697,-18.2254,-26.2051,-21.1661,-25.8059,-22.8599,-23.9623,-16.1643,-30.3952,-12.0317,-123.691,2999,7723,11832,15229,23019,23423,33796,35622,37023,54798,57728,59068,59860,82663,83639,84816,87781,105687,113748,115192,121345,122558,128222,152333,156901,164632,177374,227134,463799,666266
107,21600,3007,434917,114299,124576,38.6937,17.7858,-13.8866,-0.286674,-2.84276,-5.43029,-2.39658,-5.73138,1.66322,-15.3182,17.2069,-31.5611,-16.9526,-27.6863,-22.1557,-26.1493,-23.0558,-24.7758,-16.7514,-31.0803,-12.1456,-125.091,3007,3588,4596,8475,9123,13934,15558,25196,25577,38292,39067,41838,45536,61342,65243,67460,69970,74519,92828,105434,108929,142083,163983,212052,242507,270132,316120,341869,385802,434917
108,21800,1634,299553,116699,98964.6,37.542,16.9456,-14.1366,-0.20703,-2.66574,-5.4183,-2.18722,-6.24275,2.10108,-15.2694,16.8876,-30.85,-17.1379,-28.0272,-22.2241,-26.1418,-22.757,-25.1178,-17.0045,-30.9101,-11.0938,-127.015,1634,1995,5891,7434,13407,20686,22702,23868,25069,44326,59122,70680,73211,80653,90012,111350,114686,122408,125224,131856,139535,184328,191323,194985,197394,278931,287398,287929,293382,299553
109,22000,4505,287823,93304.8,84246.4,41.0764,16.4165,-14.3372,-1.35819,-2.55415,-4.59466,-1.12304,-6.50895,1.77027,-16.3622,16.4257,-30.6383,-17.7871,-28.2538,-21.9132,-26.206,-22.0305,-25.4656,-17.3356,-31.1022,-11.2936,-128.43,4505,5383,14948,20339,22759,25260,27035,28406,33588,35096,39251,41967,42296,49322,51161,51709,93959,98640,100058,107513,113318,118602,119850,122722,177047,195728,228905,260211,281744,287823
110,22200,14200,526192,182688,124554,42.8606,16.933,-13.6455,-1.43998,-3.20152,-4.31215,-0.952338,-6.46911,1.22163,-16.0858,16.9743,-29.8158,-18.2308,-28.7796,-22.2406,-25.7883,-21.7351,-25.1982,-18.1459,-31.4579,-10.8791,-129.703,14200,16153,41679,46289,50228,72426,75988,82139,101481,114372,119185,140341,150176,159333,172754,175746,184145,185455,191551,211096,214427,224781,227207,240780,271100,327053,331585,345927,466857,526192
111,22400,3482,564590,82615.2,111260,36.8848,16.3771,-13.0574,-1.89314,-3.67818,-3.39158,-1.39493,-7.06322,0.565729,-15.5024,17.0474,-30.5912,-17.1824,-30.3656,-22.3064,-26.8808,-21.8781,-25.7307,-18.2764,-31.7127,-10.8224,-131.894,3482,6011,10777,11794,13076,13958,14365,23338,23844,24928,26849,27500,28330,28481,30876,42899,45969,60804,70370,76982,82362,102826,111326,119701,128054,134853,207472,213281,229357,564590
112,22600,5720,323801,132522,96198.7,37.795,17.023,-13.9083,-0.662475,-3.88998,-2.53591,-1.87973,-6.6177,0.307977,-14.567,17.1883,-31.2413,-17.0847,-31.1308,-22.1365,-27.4942,-22.3242,-26.3841,-18.7127,-31.4104,-11.5898,-131.991,5720,13537,15467,25345,26161,32101,43968,45549,52828,59859,84629,88174,93484,94513,108494,124138,130114,131275,147162,169336,176852,202767,211505,218670,225047,265557,268904,291607,299088,323801
113,22800,2941,547246,143491,139150,33.912,17.0038,-14.7457,-0.70954,-3.8555,-1.99664,-3.62247,-6.2116,0.442386,-14.5565,16.6094,-31.4496,-18.4284,-31.0972,-21.3313,-26.9107,-23.6198,-26.5147,-18.3826,-31.4599,-10.914,-132.761,2941,3058,6065,17317,21329,23282,38860,42569,48919,59172,62911,62940,63966,64770,85663,94626,120036,144895,146540,171304,178605,194593,219594,221908,239020,303340,318770,322610,477886,547246
114,23000,861,732543,148091,164887,34.43,16.9672,-13.1025,-1.65484,-3.72646,-2.03563,-3.07811,-7.05821,-0.316566,-14.554,16.6233,-32.725,-18.5696,-29.8664,-20.2818,-26.8339,-23.6888,-27.2623,-18.4246,-31.767,-11.3844,-134.526,861,2911,4460,10811,19500,26148,26211,26828,30862,32577,43752,66620,70394,91982,97697,99779,104209,112367,132902,145829,171381,206980,219800,237216,247239,294629,334733,380353,471163,732543
115,23200,945,814946,117027,156641,32.8856,17.2159,-14.1734,-1.15552,-3.68616,-1.74214,-2.52911,-7.75572,0.306919,-14.5963,17.4803,-32.4893,-18.4074,-30.1165,-20.2664,-26.8553,-24.1168,-26.7037,-18.9573,-32.6101,-12.0876,-135.761,945,1558,1722,4876,6012,21572,26030,39808,42941,46958,55057,57228,69437,72080,72341,78068,81685,84152,86874,96797,98926,119504,130572,174219,188871,198531,212710,262530,363858,814946
116,23400,1711,439608,152561,129045,33.266,17.2322,-14.6855,-2.09323,-4.60336,-1.97747,-1.62575,-7.41308,-0.0471315,-14.9263,17.093,-32.2523,-17.8541,-29.9155,-20.1498,-27.1948,-24.314,-26.3642,-19.7975,-33.0027,-12.5571,-135.426,1711,8642,9203,25997,26753,30414,31264,33495,33608,51278,51457,75704,91482,95307,102155,125648,161613,176137,195692,198618,215102,221616,230196,232426,299701,315755,358219,363660,374367,439608
117,23600,1023,516741,129953,140575,31.9182,16.5198,-15.9212,-1.71437,-4.51031,-2.47818,-1.25821,-8.40057,-0.111401,-15.9608,17.4854,-32.2923,-17.9528,-31.1333,-21.3934,-27.491,-23.3951,-27.6711,-20.3693,-32.6597,-12.5791,-135.728,1023,5333,6883,13981,25302,26605,41464,42883,46786,48725,49790,53740,72759,75280,77008,77782,92950,95488,101900,105968,107794,126935,157303,211737,214012,272810,314297,452760,462558,516741
118,23800,615,414713,96728,111408,30.5569,16.2429,-15.6505,-0.918345,-4.37305,-2.6153,-2.52932,-8.98345,0.653507,-15.4872,16.1819,-32.8989,-18.6085,-29.846,-21.413,-27.1246,-24.0123,-27.7637,-20.2348,-32.926,-13.3574,-135.284,615,2185,7828,8700,15501,21240,21864,23955,26394,31051,35801,37893,39902,46013,48975,50351,51430,54752,61514,84205,115366,141308,141543,148492,179739,189387,191791,303090,406243,414713
119,24000,3828,463651,98365.5,101873,29.3894,17.2078,-16.056,-2.36509,-5.16711,-2.19796,-2.97132,-8.95136,-0.258693,-15.2889,16.1475,-33.7871,-18.5514,-30.2982,-22.2703,-27.6409,-23.5082,-28.3957,-20.2935,-32.6586,-12.778,-134.71,3828,3974,4576,9187,9262,9672,19028,21201,33320,33370,38575,43688,45946,50950,72263,72938,87420,100022,101278,102428,104118,113262,147458,172945,184162,196743,206140,231704,267857,463651
120,24200,10737,388161,117076,88785.2,25.8439,17.4481,-15.8778,-1.86003,-5.59001,-2.44344,-4.06642,-8.11975,0.156958,-16.1307,17.1144,-33.6108,-18.7619,-30.7313,-21.6176,-26.9531,-22.4393,-28.3329,-21.1111,-32.2813,-12.3586,-135.887,10737,13790,15741,18942,27067,45009,46846,51523,64149,64291,65895,66577,77162,84236,93258,94359,95797,126212,128864,141254,144746,146037,152535,202627,212731,213019,216303,247704,256710,388161
121,24400,11059,631253,187654,174868,26.4181,17.4469,-15.5695,-1.73229,-5.45908,-1.85302,-4.29378,-8.06819,0.0872043,-15.8701,17.203,-33.5212,-17.9847,-31.0402,-21.4786,-28.0729,-22.0105,-27.8125,-20.8322,-32.2021,-12.7003,-135.234,11059,11963,30324,33088,38904,42872,45618,51760,67803,81676,88834,90108,96259,111716,128719,130308,135177,138286,151373,170387,180054,224647,264688,366789,413513,436124,442279,462381,551666,631253
122,24600,12042,475636,112823,125864,27.7017,17.3893,-15.1372,-1.31313,-4.95318,-1.76018,-4.0695,-7.12754,0.725107,-15.3612,17.2575,-33.6386,-17.7061,-30.9209,-21.4515,-27.8083,-23.5345,-28.0839,-20.2652,-31.6282,-12.6694,-135.129,12042,13588,14191,18104,22243,23823,28192,29873,31205,32057,35379,40139,59420,59947,82188,83552,84006,86896,98056,107188,108226,115977,116540,149311,152011,230430,235306,368144,471023,475636
