generation,agents,minScore,maxScore,meanScore,standardDeviation,stepSize
487,6344,166,20606,7332.7,5824.08,1.62426
488,6357,1597,26872,7590.23,5573.45,1.62821
489,6370,414,31136,7981.1,8134.9,1.62865
490,6383,263,20185,5647.17,5222.01,1.66608
491,6396,345,35079,8324.83,8641.02,1.72594
492,6409,154,16771,6623.53,4265.43,1.7522
493,6422,462,34446,7981.4,8993.67,1.79534
494,6435,38,23757,7395.67,5801.5,1.85546
495,6448,169,36434,11158.3,10286.2,1.91286
496,6461,287,63388,12222.7,13478.7,1.93927
497,6474,1350,22960,7531.03,5201.35,2.00715
498,6487,496,41157,9030.6,9413.64,2.08665
499,6500,241,22332,7602.97,6300.86,2.17231
500,6513,67,33737,10437.3,8646.14,2.20931
501,6526,111,22904,7862.93,7243.58,2.25494
502,6539,64,27776,8402.83,7924.06,2.32613
503,6552,219,28573,8047.33,8253.02,2.37999
504,6565,463,25308,9010.13,6948.38,2.43745
505,6578,808,33774,9579.17,8425.67,2.42728
506,6591,1371,51932,12849.5,13202.1,2.38429
507,6604,450,35256,9637.97,8596.69,2.32568
508,6617,294,49263,12465.6,10931.7,2.23918
509,6630,1005,48743,14354.5,11966.1,2.11474
510,6643,199,27982,7259.47,7973.48,2.00612
511,6656,1229,45930,14165.4,10708,1.91378
512,6669,87,27303,9631.63,7925.84,1.80147
513,6682,447,22930,8363.67,6506.47,1.76773
514,6695,828,31742,9783.9,9025.18,1.80149
515,6708,1114,42539,10245.3,8848.74,1.82139
516,6721,302,46552,11282.5,10765.1,1.82306
517,6734,374,48903,12374.6,11656.3,1.86951
518,6747,273,30063,10107.2,8734.82,1.9425
519,6760,1065,35254,12745.9,10309.5,1.9914
520,6773,41,42137,11976.1,12563.7,2.01908
521,6786,264,106567,17406.2,21962.5,2.05198
522,6799,99,44327,12766.1,12464.2,2.04161
523,6812,1346,45290,11291.5,9328.72,2.07777
524,6825,118,38295,13557,11658.6,2.13225
525,6838,420,33629,9317.63,8845.08,2.13086
526,6851,147,68658,12568.7,16295.5,2.10092
527,6864,828,42089,11448.3,11319.7,2.09424
528,6877,801,45526,13236.1,12892.6,2.044
529,6890,466,49222,13037.8,12151.1,1.99989
530,6903,817,63946,17596.7,17096.3,1.884
531,6916,895,58965,13358.8,12371.7,1.82002
532,6929,53,57723,11455.4,13146.7,1.82015
533,6942,226,82674,17230.6,16880.7,1.81644
534,6955,251,34905,10827.5,9621.42,1.83844
535,6968,2022,36821,13925,8759.64,1.86476
536,6981,103,60890,14498.7,17273.3,1.91769
537,6994,488,66982,15062.5,15344.8,1.99763
538,7007,37,43270,13964,11813.9,2.04297
539,7020,613,64564,17330,15744.5,2.01581
540,7033,152,41476,13364,11510.3,1.97149
541,7046,854,92467,17284,18718.8,1.92204
542,7059,962,87261,17771.3,17506.4,1.86557
543,7072,446,50128,14258.9,13568.1,1.80464
544,7085,818,53068,14210.4,12000.8,1.78289
545,7098,14,53430,10965.3,12900.9,1.8159
546,7111,615,39249,12307.3,10186.5,1.82085
547,7124,184,63533,14263.1,14812.1,1.86347
548,7137,785,87757,20971.1,21308.1,1.89582
549,7150,301,90046,14732,18740.8,1.9209
550,7163,414,49241,15777.3,13304.8,1.91819
551,7176,652,47350,11218.5,9782.54,1.91091
552,7189,3307,63589,21262.9,16232.9,1.89106
553,7202,204,47304,15505.3,11733.4,1.85534
554,7215,3281,49557,15233.9,10285.7,1.84134
555,7228,290,49925,13603.9,13389.9,1.7622
556,7241,1061,54428,17568.2,14641.6,1.75162
557,7254,527,76333,18091.1,19895.6,1.75395
558,7267,108,43386,13923.6,11422.8,1.81844
559,7280,767,50830,12884.9,13928.1,1.8949
560,7293,285,37717,12855.8,10905.3,1.98342
561,7306,389,58793,16910.5,15923,2.03811
562,7319,674,56402,14662.2,12180.7,2.05295
563,7332,980,47478,12785.9,10940.7,2.03531
564,7345,507,73060,14932.2,16653.1,1.98877
565,7358,1108,67093,17125,17419.2,1.9016
566,7371,114,47981,13937.6,12604.6,1.86904
567,7384,1323,47637,22475,13740.1,1.85628
568,7397,72,44871,13385.2,10443.6,1.84588
569,7410,593,65870,13373.7,15137.3,1.84526
570,7423,219,57883,19781.1,17298.6,1.79903
571,7436,875,56314,12461.7,12058.9,1.73912
572,7449,339,42772,13125.8,11125.9,1.69344
573,7462,355,94263,17161.6,19723.8,1.68652
574,7475,897,56740,11377,13352,1.67063
575,7488,204,75630,13506.8,14954.8,1.67815
576,7501,192,33684,12515.4,10361.8,1.61648
577,7514,348,57944,14023.1,15879.5,1.59501
578,7527,331,47257,12378.8,13741.6,1.52102
579,7540,821,59038,12996.9,14744.2,1.45414
580,7553,99,72049,17951.1,20138,1.42443
581,7566,199,41702,11653.2,12085,1.38456
582,7579,533,81095,18220.1,18244.2,1.32973
583,7592,307,53703,16248.4,15561.9,1.26768
584,7605,95,67125,18968.2,16305.1,1.28416
585,7618,129,38086,12255.8,10410.4,1.33175
586,7631,875,78967,15512.4,17702.8,1.32816
587,7644,1063,36747,13129.3,9815.14,1.31776
588,7657,1727,42620,15308.7,13091.4,1.28985
589,7670,63,77948,18139.3,16670.4,1.32736
590,7683,491,74904,16070.2,16413.4,1.37585
591,7696,706,66165,18056.6,18167.9,1.3788
592,7709,129,44379,15121.8,13082.6,1.38091
593,7722,1574,45824,13887.6,12785,1.36947
594,7735,693,49374,13543.6,13430.8,1.33391
595,7748,261,91232,14232.2,18995,1.30038
596,7761,1178,48201,12200.8,11266.9,1.3036
597,7774,541,68644,12659.3,14667.7,1.30479
598,7787,542,50994,13432.4,13702.8,1.31525
599,7800,540,53256,15027.3,12572.2,1.32194
600,7813,443,31443,12101.6,9028.49,1.30789
601,7826,29,90840,16375.9,19971.3,1.3024
602,7839,20,57204,14428.9,14471.5,1.34212
603,7852,343,54614,18143.6,15213.8,1.36731
604,7865,33,60966,16483.5,17910.5,1.44177
605,7878,395,44069,15852.6,12724.1,1.51558
606,7891,174,48625,15904.2,15550.7,1.57645
607,7904,398,76935,13285.7,15700.8,1.62731
608,7917,285,69111,14584.7,17075.5,1.71156
609,7930,348,42287,13238,10195.9,1.79781
610,7943,32,49916,17044.8,16519.5,1.87486
611,7956,585,35878,13118.2,9821.32,1.91912
612,7969,1862,56074,14224.4,13397.4,1.97085
613,7982,752,64381,13145.6,13585,1.94465
614,7995,187,63565,12815.3,14392.9,1.91506
615,8008,216,48937,11219,11579.1,1.85738
