generation,agents,score,stepsize
293,3822,89991.8,0.0149795
294,3835,72940.1,0.0154731
295,3848,88044.4,0.0154609
296,3861,94040,0.0153458
297,3874,79954.6,0.0148634
298,3887,65188.8,0.0146475
299,3900,81317.6,0.0146577
300,3913,85306.5,0.0150816
301,3926,105822,0.0147623
302,3939,105543,0.0141316
303,3952,115923,0.0139924
304,3965,60665,0.0139592
305,3978,67208.9,0.0136257
306,3991,90907,0.0133233
307,4004,122267,0.0127223
308,4017,100677,0.0120406
309,4030,66355.4,0.0117665
310,4043,77044.5,0.0118911
311,4056,113873,0.012098
312,4069,63102.5,0.0122343
313,4082,72363.6,0.0121639
314,4095,65473.5,0.0123056
315,4108,63709.4,0.0120836
316,4121,65169.4,0.0117589
317,4134,127911,0.0119296
318,4147,72501.7,0.012009
319,4160,71773.2,0.0125418
320,4173,68887.7,0.0128364
321,4186,82492.1,0.0126161
322,4199,89934.9,0.0122849
323,4212,91123.6,0.0125638
324,4225,47377.6,0.0130581
325,4238,79079,0.0129072
326,4251,86020.3,0.0129404
327,4264,86726.9,0.0128389
328,4277,83442.6,0.0128355
329,4290,76386.2,0.0131336
330,4303,79148.6,0.0132045
331,4316,88547.2,0.0128955
332,4329,77620.1,0.0126064
333,4342,95505.2,0.0124151
334,4355,89131.7,0.0120721
335,4368,95773.5,0.0125554
336,4381,64090.5,0.0129771
337,4394,59219.1,0.0129984
338,4407,76781.2,0.0129859
339,4420,96251.9,0.012561
340,4433,74312.2,0.0120555
341,4446,72139.3,0.0119267
342,4459,93833.9,0.0118254
343,4472,91760.1,0.0119864
344,4485,100266,0.0121269
345,4498,150949,0.0123962
346,4511,52662.4,0.0128073
347,4524,81159.1,0.0134029
348,4537,64500.6,0.0138971
349,4550,66407.2,0.0147074
350,4563,98501.9,0.0151387
351,4576,84206.2,0.0158177
352,4589,69806.2,0.015538
353,4602,60953.5,0.0152551
354,4615,59366.7,0.014681
355,4628,56115.1,0.0145318
356,4641,79916.1,0.0144473
357,4654,58928.4,0.0142913
358,4667,78638.3,0.0142065
359,4680,95250.6,0.0141657
360,4693,90698.5,0.014089
361,4706,61495.3,0.0141508
362,4719,90194.3,0.0143017
363,4732,64812.2,0.0142725
364,4745,63297.2,0.0137894
365,4758,63740.5,0.0135474
366,4771,62188.6,0.0134108
367,4784,52365.4,0.0131303
368,4797,67529.6,0.0126659
369,4810,67657.1,0.0125687
370,4823,47504.7,0.0125379
371,4836,56686.1,0.0121308
372,4849,58993.3,0.011986
373,4862,65497.9,0.0119484
374,4875,60894.1,0.0120821
375,4888,65790.9,0.0121499
376,4901,65174.1,0.011831
