agents,score,clow,chigh,Q1,Q2,Q3,means
2132,38730.30599999999,60313.05585217146,28523.35463165015,3186.1800000000003,40177.6,70379.70000000001,"[309.4, 1217.43, 5154.93, 31649.0, 38730.306, 40177.6, 45702.0, 47326.6, 68602.6, 72156.8, 75006.7]"
2145,40783.2097,63509.9553426436,30035.23786489202,3408.115,40783.2097,69272.45,"[344.267, 1164.4, 5651.83, 30528.3, 34049.3, 40783.2097, 43514.3, 56111.4, 64737.2, 73807.7, 97923.4]"
2158,39812.044,61997.60036394002,29320.012334084317,3990.2200000000003,38490.7,77700.54999999999,"[317.5, 1676.47, 6303.97, 18570.1, 37979.1, 38490.7, 39812.044, 51074.5, 75351.2, 80049.9, 88307.0]"
2171,41660.2563,64875.74265583337,30681.14836196589,4294.465,41660.2563,78126.85,"[368.933, 1420.43, 7168.5, 17315.0, 29434.3, 41660.2563, 51217.3, 51699.4, 74673.8, 81579.9, 101725.0]"
2184,38623.2427,60146.330735343916,28444.50670119656,3821.23,34165.7,75228.15,"[380.267, 1346.33, 6296.13, 18253.4, 30650.4, 34165.7, 38623.2427, 40036.9, 72804.2, 77652.1, 104647.0]"
2197,42883.40670000001,66780.50267479129,31581.95076272784,5445.55,42883.40670000001,72525.35,"[433.567, 1242.4, 9648.7, 25371.1, 27647.6, 42883.40670000001, 42941.8, 59475.2, 71785.1, 73265.6, 117023.0]"
2210,42273.12300000001,65830.1338632521,31132.50070155312,3430.6815,41605.8,83847.55,"[338.967, 929.733, 5931.63, 19105.6, 19445.2, 41605.8, 42273.12300000001, 64520.2, 72428.0, 95267.1, 103159.0]"
2223,35629.953,55485.00818194529,26240.06598161211,4511.515,35629.953,61930.8,"[383.1, 1318.93, 7704.1, 16335.6, 25133.7, 35629.953, 48573.5, 58508.8, 58571.4, 65290.2, 74480.2]"
2236,43439.32299999999,67646.20745003968,31991.3613615084,4585.8315,43439.32299999999,85991.9,"[367.267, 895.333, 8276.33, 22497.0, 25844.3, 43439.32299999999, 55435.1, 57762.7, 82071.0, 89912.8, 91331.4]"
2249,40083.91969999999,62420.98081125556,29520.23814709049,6191.115,40083.91969999999,71844.75,"[355.967, 1026.33, 11355.9, 24203.6, 25440.3, 40083.91969999999, 48288.0, 58718.0, 64579.1, 79110.4, 87761.6]"
2262,36536.0393,56896.017783025825,26907.3630812472,4115.7300000000005,36536.0393,65696.9,"[404.933, 1275.03, 6956.43, 19129.0, 20708.8, 36536.0393, 43072.8, 59898.5, 62486.8, 68907.0, 82521.1]"
2275,37406.156599999995,58251.01439247272,27548.17042005403,6315.666499999999,37406.1566,61390.8,"[552.333, 936.433, 11694.9, 19924.4, 24468.8, 37406.1566, 42578.4, 51122.7, 60956.3, 61825.3, 100002.0]"
2288,39430.5703,61403.5476194501,29039.07188327178,8312.085000000001,33128.7,75421.7,"[415.833, 1013.97, 15610.2, 17904.8, 26935.2, 33128.7, 39430.5703, 47291.6, 68925.0, 81918.4, 101162.0]"
2301,37169.876599999996,57883.065612601196,27374.159447035476,7002.9664999999995,37169.876599999996,68965.8,"[425.433, 825.033, 13180.9, 17652.4, 21906.8, 37169.876599999996, 38465.3, 57080.6, 59563.6, 78368.0, 84230.7]"
2314,39046.16,60804.921832861946,28755.96874148511,6500.266500000001,39046.16,76592.95,"[362.267, 960.833, 12039.7, 15444.0, 22762.7, 39046.16, 43152.1, 51710.3, 64011.4, 89174.5, 90843.8]"
2327,37110.8833,57791.197859276355,27330.713190329134,5029.15,37110.8833,64281.049999999996,"[439.633, 1087.37, 8970.93, 20495.0, 28730.9, 37110.8833, 39253.8, 43990.4, 48652.2, 79909.9, 99578.7]"
2340,34995.3773,54496.8104735014,25772.725813121637,5151.82,34995.3773,58730.9,"[363.733, 1075.37, 9228.27, 19319.3, 21828.6, 34995.3773, 41301.2, 45999.7, 58696.4, 58765.4, 93375.8]"
