generation,agents,score,stepsize
317,4134,342.267,0.367488
318,4147,408.133,0.360453
319,4160,497.233,0.354107
320,4173,458.767,0.345209
321,4186,491.367,0.333882
322,4199,494.067,0.320632
323,4212,393.9,0.316421
324,4225,497.5,0.304614
325,4238,388.233,0.298562
326,4251,426.067,0.291895
327,4264,501.033,0.287124
328,4277,461.4,0.276303
329,4290,452.5,0.271479
330,4303,489.3,0.263553
331,4316,402.9,0.258657
332,4329,559.9,0.258248
333,4342,440.633,0.257112
334,4355,445.933,0.259859
335,4368,420.233,0.261602
336,4381,416.133,0.264618
337,4394,417.767,0.257474
338,4407,397.533,0.246331
339,4420,335.967,0.233422
340,4433,515.9,0.218089
341,4446,433.4,0.21078
342,4459,531.067,0.206363
343,4472,405.9,0.210869
344,4485,441.1,0.207292
345,4498,364.067,0.202946
346,4511,393.267,0.203444
347,4524,503.567,0.210261
348,4537,398.467,0.209064
349,4550,418.933,0.208456
350,4563,502,0.208191
351,4576,513.067,0.208082
352,4589,358.9,0.206349
353,4602,501.833,0.198055
354,4615,565.8,0.194032
355,4628,402.667,0.18952
356,4641,403.967,0.184159
357,4654,507.233,0.176662
358,4667,338.133,0.170571
359,4680,505.433,0.169066
360,4693,387.8,0.17082
361,4706,372.8,0.171598
362,4719,384.567,0.177243
363,4732,346.733,0.178603
364,4745,354.5,0.177233
365,4758,458.3,0.175802
366,4771,344.567,0.174302
367,4784,387.267,0.173524
368,4797,532.6,0.175061
369,4810,366.8,0.17487
370,4823,421.467,0.170225
371,4836,366.833,0.166317
372,4849,482.933,0.161387
373,4862,400.667,0.154952
374,4875,439.767,0.148725
375,4888,465.267,0.147099
376,4901,424.667,0.143515
377,4914,409.9,0.137456
378,4927,399.6,0.133343
379,4940,504.7,0.127715
380,4953,504.433,0.126785
381,4966,398,0.125565
382,4979,490.667,0.123613
383,4992,394.533,0.117927
384,5005,448.067,0.115694
385,5018,372.833,0.11391
386,5031,546.567,0.111732
387,5044,490.4,0.109222
388,5057,438.3,0.108455
389,5070,445,0.109056
390,5083,459.867,0.108753
391,5096,459.4,0.108738
392,5109,461.767,0.106353
393,5122,360.533,0.107908
394,5135,442.133,0.106805
395,5148,510.067,0.106157
396,5161,393.867,0.107104
397,5174,447.1,0.109763
398,5187,413.9,0.110639
399,5200,431.633,0.110979
400,5213,383.867,0.110237
401,5226,313.267,0.111188
402,5239,457.1,0.113419
403,5252,361.467,0.117922
404,5265,532.433,0.12036
405,5278,388.733,0.121364
406,5291,399.167,0.123783
407,5304,444.067,0.124962
408,5317,439.933,0.128901
409,5330,368.367,0.130724
410,5343,346.667,0.131479
411,5356,454.4,0.130423
412,5369,433.967,0.126981
413,5382,373.9,0.123766
414,5395,322.5,0.12034
415,5408,459.767,0.117973
416,5421,352.433,0.116605
417,5434,458.4,0.114905
418,5447,426.933,0.117075
419,5460,406.8,0.119214
420,5473,323.167,0.122961
421,5486,406.667,0.122584
422,5499,475.5,0.119112
423,5512,477.533,0.114319
424,5525,406.267,0.108721
425,5538,415.8,0.106641
426,5551,533.867,0.105687
427,5564,445.133,0.103689
428,5577,392.867,0.102638
429,5590,422.633,0.0994964
430,5603,424.667,0.0995195
431,5616,427.167,0.0986132
432,5629,459.233,0.0995277
433,5642,458.333,0.101318
434,5655,427.4,0.102508
435,5668,434.467,0.105868
436,5681,412.033,0.109883
437,5694,532.367,0.112598
438,5707,543.2,0.111982
439,5720,442.7,0.113262
440,5733,384.4,0.117847
441,5746,486.133,0.121632
442,5759,367.233,0.125775
443,5772,282.267,0.128655
444,5785,380.367,0.127767
445,5798,455.933,0.130382
446,5811,433.067,0.132999
447,5824,405.767,0.135484
448,5837,488.267,0.134011
449,5850,460.167,0.134766
450,5863,478.767,0.133648
451,5876,515.9,0.131902
452,5889,490.3,0.127267
453,5902,379.767,0.124682
454,5915,415.733,0.122048
455,5928,457.167,0.121031
456,5941,520.867,0.118189
457,5954,532.333,0.117581
458,5967,371.333,0.112397
459,5980,353.367,0.107536
460,5993,353.633,0.106035
461,6006,547.633,0.104116
462,6019,408.667,0.102271
463,6032,418.1,0.100065
464,6045,480.9,0.100699
465,6058,427.1,0.103145
466,6071,384.2,0.104959
467,6084,392.9,0.104812
468,6097,346.133,0.104169
469,6110,447,0.10554
470,6123,539.067,0.104704
471,6136,417.8,0.104335
472,6149,432.633,0.105077
473,6162,355.567,0.104269
474,6175,422.5,0.10707
475,6188,465.9,0.110202
476,6201,422.167,0.114379
477,6214,353.4,0.117274
478,6227,431.733,0.122206
479,6240,469.733,0.123623
480,6253,454.733,0.125341
481,6266,394.767,0.127464
482,6279,457.367,0.131225
483,6292,487.967,0.132141
484,6305,401.6,0.131814
485,6318,443.4,0.133682
486,6331,585.5,0.134885
487,6344,499.233,0.13285
488,6357,385.067,0.134222
489,6370,426.967,0.135687
490,6383,523.467,0.136501
491,6396,433.4,0.131672
492,6409,489.8,0.129479
493,6422,311.567,0.13117
494,6435,488.533,0.137529
495,6448,515,0.138044
496,6461,592.833,0.137103
497,6474,441.533,0.13583
498,6487,611.6,0.134047
499,6500,372.467,0.133843
500,6513,458.6,0.13192
501,6526,431.667,0.129188
502,6539,441.233,0.124936
503,6552,437.333,0.123521
504,6565,405.933,0.124507
505,6578,362.8,0.125886
506,6591,457.3,0.128259
507,6604,469.2,0.126773
508,6617,288.067,0.127872
509,6630,509.867,0.129604
510,6643,494.567,0.126846
511,6656,440.9,0.126565
512,6669,458.967,0.127151
513,6682,511.933,0.132616
514,6695,411.8,0.13547
515,6708,535.7,0.134076
516,6721,355.867,0.134439
517,6734,545.6,0.133927
518,6747,512.433,0.13511
519,6760,407.033,0.139606
520,6773,557.9,0.144296
521,6786,427.367,0.145262
522,6799,374.433,0.143502
523,6812,460.933,0.141713
524,6825,497.5,0.141388
525,6838,539.467,0.137294
526,6851,514.6,0.13398
527,6864,466.3,0.126816
528,6877,357.067,0.121818
529,6890,474.033,0.115652
530,6903,521.567,0.108859
531,6916,503.7,0.105396
532,6929,505.5,0.102182
533,6942,420.133,0.098454
534,6955,479.933,0.095082
535,6968,530.433,0.0936911
536,6981,540,0.090554
537,6994,514.933,0.0904306
538,7007,510.267,0.0909491
539,7020,537.6,0.0899943
540,7033,362.367,0.088125
541,7046,487.367,0.0889201
542,7059,493.233,0.0926123
543,7072,450.867,0.0927713
544,7085,488.333,0.0918087
545,7098,509.867,0.0931128
546,7111,426.367,0.0961447
