generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21
49,1100,276,9099,3057.9,2759.85,3.67537,4.48526,-8.62902,-3.0889,-8.47034,-11.3842,8.01012,-12.1076,0.832053,-14.8736,4.07883,-14.3836,-12.019,-11.9856,-19.4582,-20.9785,-10.4934,-9.56751,-9.33847,-11.0048,-7.22299,-61.1801
50,1122,183,14829,5043.53,4373.06,3.78383,5.75815,-8.13282,-6.59963,-9.30065,-8.94162,5.44323,-9.0156,1.53977,-14.2591,4.43948,-14.9132,-13.4994,-11.1953,-19.7223,-20.5536,-11.0219,-10.8988,-10.53,-11.6326,-8.3138,-62.0254
51,1144,110,5953,1555.7,1415.57,2.86765,6.67447,-7.92681,-8.52805,-15.5566,-7.25704,5.36112,-9.90861,1.8368,-16.7007,4.86805,-16.7786,-9.98758,-10.6469,-18.9905,-20.2548,-7.18826,-9.45865,-9.64727,-13.3179,-7.63598,-64.6377
52,1166,202,4352,1668.2,1272.25,-0.257654,4.85496,-5.98635,-10.0117,-17.5428,-6.15475,5.09065,-9.58268,2.43106,-15.971,3.9434,-15.7622,-10.3047,-12.3719,-18.9967,-20.5966,-7.15153,-10.2268,-12.3485,-13.9924,-8.37684,-65.9599
53,1188,206,11032,1636.57,2023.78,2.17662,3.98621,-4.45738,-8.60622,-17.9834,-5.69937,6.51057,-9.62728,-0.478956,-15.4915,5.99949,-15.66,-9.46597,-14.7637,-19.2918,-21.7077,-6.33226,-10.4473,-11.2479,-13.8644,-7.49474,-64.0713
54,1210,94,11777,3320.63,3006.89,0.635556,4.2935,-5.16123,-5.20909,-17.9112,-6.66024,5.93573,-8.25274,0.679908,-16.1968,5.28406,-12.1455,-9.55156,-15.7691,-18.8747,-20.3298,-6.93349,-13.1308,-12.5379,-14.9888,-6.83001,-65.2814
55,1232,162,6603,2856.37,2158.31,4.15867,4.23564,-8.80468,-7.02811,-17.2282,-3.76816,4.0328,-10.3438,1.90041,-17.5473,5.8804,-14.5503,-8.93776,-18.5116,-19.2264,-18.8122,-6.19962,-14.4579,-11.5441,-15.0065,-8.15833,-68.6048
56,1254,121,19081,4031.37,4390.03,5.28574,2.83497,-10.3343,-3.3472,-16.4646,-4.25401,2.67802,-8.62629,0.192819,-17.6581,6.98551,-13.0272,-8.85298,-15.0988,-19.9285,-16.6174,-6.19143,-14.6688,-11.8584,-16.1085,-6.24229,-67.4883
57,1276,72,8771,3001.7,2078.55,5.04222,4.26555,-8.55488,-3.23577,-17.8968,-4.45121,4.54463,-8.05721,2.93338,-17.1425,7.38232,-11.9316,-9.60658,-22.4931,-20.9287,-16.9389,-8.55395,-10.3111,-13.8237,-18.3048,-8.32642,-67.422
58,1298,201,30746,4209.3,5393.28,6.13014,5.62689,-9.19401,-2.82484,-17.1769,-7.16505,2.11357,-3.66563,2.44265,-17.8354,7.22336,-11.7701,-11.9376,-19.3081,-18.5224,-20.8058,-7.91259,-9.86337,-16.0927,-16.9937,-5.46171,-67.6641
59,1320,597,13921,4034.87,3247.34,8.69275,3.73197,-7.3859,-4.06398,-18.3279,-5.22876,3.29031,-4.96612,2.54966,-17.6254,4.8948,-12.1228,-12.4765,-19.4551,-17.0244,-20.6132,-9.75954,-9.3942,-15.7319,-15.5985,-3.89367,-68.151
60,1342,295,26856,6097.23,5383.19,6.65195,4.8605,-12.6322,-4.35337,-14.8841,-3.07889,-0.0245484,-8.88623,-1.03348,-16.114,6.90192,-13.7822,-11.9757,-17.4565,-18.6799,-18.9755,-7.75808,-11.6241,-17.0493,-17.805,-3.9209,-71.3997
61,1364,183,20121,6197.87,5928.54,4.50194,3.36036,-14.4262,-4.23588,-10.9211,-4.64946,-1.6202,-9.13925,-3.40578,-15.9744,6.74621,-12.5089,-13.4846,-17.8937,-18.1789,-18.3619,-6.98299,-10.3942,-16.5411,-18.575,-5.36191,-70.6848
62,1386,352,20978,6941.97,5497.57,3.76254,4.3632,-14.8568,-4.35435,-10.7126,-5.18717,-3.99506,-9.91359,-3.03697,-15.9508,6.1687,-13.3102,-15.0904,-18.3915,-18.128,-17.1238,-8.58822,-8.5789,-18.0398,-21.6205,-6.77923,-75.0955
63,1408,179,21823,6923.1,6635.42,4.09561,4.79229,-11.7176,-6.75847,-10.884,-3.09465,-5.49108,-7.67759,-3.83336,-17.0729,7.7427,-14.8788,-15.732,-18.8155,-20.7139,-19.4959,-8.56636,-9.46169,-20.1912,-21.6009,-7.2414,-77.7416
64,1430,182,17076,6064.67,5482.93,3.77012,5.46683,-9.36508,-6.57048,-9.53664,-0.830545,-3.84186,-7.58904,-3.08216,-14.2137,9.26679,-14.2711,-15.9678,-18.1016,-19.8928,-21.3098,-7.86833,-11.0702,-19.1486,-22.1799,-7.04116,-78.1267
65,1452,310,28276,8688.13,8112.65,2.8087,5.2204,-9.86393,-7.41837,-9.25975,-2.52852,-4.09261,-7.9607,-4.70897,-13.4946,10.7521,-15.4002,-15.3448,-17.2982,-18.0757,-22.5299,-10.1077,-13.075,-20.815,-21.3496,-8.75219,-78.8407
66,1474,106,64248,13186.6,15189.7,1.12398,5.59046,-10.1227,-6.01844,-8.46059,-1.5329,-5.76513,-5.78092,-6.65868,-12.1581,11.4434,-15.1366,-16.5976,-21.1473,-17.1363,-18.01,-10.9184,-12.1046,-19.9138,-20.6986,-7.34174,-79.2379
67,1496,431,143477,33445.2,33065.6,3.64024,7.90853,-8.1527,-5.31952,-7.65432,0.856986,-6.65961,-3.89006,-4.76368,-10.7524,11.8004,-15.8703,-15.9779,-22.0765,-16.1954,-18.8412,-11.6899,-13.1898,-19.752,-20.906,-7.02083,-78.9681
