generation,agents,minScore,maxScore,meanScore,standardDeviation,stepSize,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21
78,19750,101,4625,1608.37,1249.32,8.93707e+06,3.15144e+06,-742746,-1.00955e+07,-1.57319e+07,-1.27391e+07,-8.27334e+06,-1.06502e+07,-1.09909e+07,-9.44912e+06,-1.19608e+07,-486981,-1.02482e+07,-8.42348e+06,-1.66441e+07,-1.16334e+07,-1.10675e+07,-1.1506e+07,-1.88916e+07,-1.16288e+07,-1.4957e+07,-1.35785e+07,-6.6325e+07,101,227,256,273,286,341,387,413,455,597,612,904,1235,1292,1393,1417,1711,1915,1920,1996,2136,2322,2361,2593,2793,2946,3076,3804,3864,4625,6.48708,1.03214,0.819902,0.783549,0.697151,0.616732,0.605658,0.553778,0.522168,0.507166,0.476826,0.461783,0.449401,0.397266,0.375582,0.35596,0.336776,0.32493,0.291406,0.265806,0.26131,0.238304
79,20000,49,10152,2801.93,2798.23,1.08355e+07,6.87487e+06,67862.8,-1.23496e+07,-1.66854e+07,-1.54303e+07,-9.83984e+06,-1.40115e+07,-1.28691e+07,-1.11185e+07,-1.52136e+07,687101,-1.34666e+07,-1.10293e+07,-2.14982e+07,-1.31932e+07,-1.43986e+07,-1.82726e+07,-2.42321e+07,-1.27079e+07,-1.8388e+07,-1.62191e+07,-8.60278e+07,49,170,198,373,374,511,518,614,873,901,941,1216,1249,1409,1774,2022,2241,2484,2854,2939,3169,3878,4070,4606,5221,5384,5878,8766,9224,10152,6.72981,1.02901,0.845847,0.765229,0.702058,0.607549,0.592485,0.543368,0.527025,0.500205,0.477247,0.452035,0.449677,0.388337,0.366086,0.347113,0.330599,0.327002,0.286201,0.261416,0.258512,0.234299
80,20250,142,9574,3343.9,2936.47,1.37458e+07,7.67082e+06,3.97475e+06,-1.5308e+07,-1.72826e+07,-1.4584e+07,-8.42368e+06,-2.05581e+07,-1.35747e+07,-1.06314e+07,-1.70199e+07,1.66539e+06,-1.68621e+07,-1.16285e+07,-2.86972e+07,-1.52816e+07,-1.72998e+07,-2.40736e+07,-2.91971e+07,-1.55661e+07,-2.26786e+07,-2.04767e+07,-1.02224e+08,142,283,293,329,354,572,666,738,835,870,882,942,2374,2770,2916,3043,3046,3348,3369,3828,4123,4500,5170,6717,6800,7122,7645,7725,9341,9574,6.86243,1.00663,0.848933,0.752446,0.692386,0.617699,0.599257,0.547736,0.523396,0.490857,0.475166,0.445691,0.441553,0.383041,0.365601,0.340158,0.327266,0.317604,0.284876,0.257017,0.251699,0.231861
81,20500,220,23000,5092.17,5218.66,1.62499e+07,1.61535e+06,2.64913e+06,-2.00471e+07,-1.85197e+07,-1.89354e+07,-1.52697e+07,-1.98878e+07,-2.00713e+07,-1.04587e+07,-2.17934e+07,2.37496e+06,-2.48532e+07,-1.42983e+07,-3.56944e+07,-2.13039e+07,-1.82116e+07,-2.83851e+07,-3.46285e+07,-1.89579e+07,-3.02502e+07,-2.3045e+07,-1.24558e+08,220,531,547,554,1311,1418,1806,1867,1884,2043,2445,2660,2838,2850,3398,3475,3507,3850,4395,4585,5988,6424,6923,7113,7821,7917,11085,12194,18116,23000,6.92721,1.02221,0.835958,0.753981,0.681189,0.614565,0.59987,0.538567,0.511586,0.48049,0.479981,0.44445,0.434403,0.381448,0.360202,0.334804,0.322078,0.310039,0.278455,0.251223,0.244498,0.227555
82,20750,221,8579,2655.63,2015.65,1.99437e+07,-1.18032e+06,2.78568e+06,-2.33087e+07,-2.45295e+07,-2.36687e+07,-1.50828e+07,-1.82114e+07,-2.70042e+07,-1.52593e+07,-2.50314e+07,3.99592e+06,-3.6711e+07,-2.14624e+07,-4.21112e+07,-2.751e+07,-1.68843e+07,-2.85472e+07,-3.57982e+07,-2.50803e+07,-4.27455e+07,-2.99649e+07,-1.5245e+08,221,231,565,603,668,693,752,758,972,998,1292,1541,1766,2137,2880,2985,2997,3091,3098,3179,3249,3413,3557,3801,4421,4797,4844,4941,6640,8579,7.08122,1.01462,0.826952,0.742597,0.672157,0.600901,0.593997,0.525475,0.509475,0.477166,0.468774,0.434647,0.430226,0.387006,0.355368,0.329302,0.316417,0.304633,0.275064,0.251515,0.241367,0.222256
83,21000,199,13964,3637.77,3279.83,2.47795e+07,407220,213502,-3.84217e+07,-3.07678e+07,-3.32918e+07,-2.69782e+07,-2.28382e+07,-3.33355e+07,-2.59386e+07,-3.36044e+07,7.25282e+06,-4.30365e+07,-2.97648e+07,-4.83878e+07,-3.48436e+07,-2.57439e+07,-3.41794e+07,-4.48149e+07,-3.10243e+07,-4.89559e+07,-3.68734e+07,-1.96118e+08,199,209,246,831,1045,1054,1057,1354,1461,1531,1675,2171,2229,2251,2480,2482,2849,3012,3386,4125,4194,4786,4999,5599,6147,6348,8090,9350,10009,13964,7.32543,1.0145,0.822853,0.722628,0.666106,0.592972,0.588651,0.514857,0.510357,0.480641,0.468655,0.426691,0.421636,0.389053,0.347023,0.324135,0.306946,0.296057,0.270433,0.247966,0.238623,0.224875
84,21250,109,16074,3135.1,3328.4,3.25479e+07,1.14966e+07,5.30385e+06,-5.06019e+07,-3.0068e+07,-4.54649e+07,-2.85213e+07,-3.02561e+07,-4.25129e+07,-3.28738e+07,-4.47371e+07,1.17954e+07,-5.38935e+07,-4.01365e+07,-6.09182e+07,-4.57425e+07,-3.15132e+07,-4.63306e+07,-6.31553e+07,-3.86898e+07,-7.30763e+07,-4.71414e+07,-2.56247e+08,109,140,390,518,579,668,676,705,811,1046,1541,1684,2056,2138,2271,2308,2386,2479,2484,3127,3598,3605,4295,4390,5317,6115,6181,7903,8459,16074,7.55854,1.00542,0.87239,0.707865,0.660553,0.588024,0.577121,0.511819,0.504415,0.472765,0.467792,0.422431,0.417839,0.38514,0.346088,0.321974,0.303529,0.293787,0.264469,0.245861,0.232478,0.220221
85,21500,79,18460,3111,3877.48,4.20132e+07,354696,-5.26523e+06,-6.29205e+07,-3.02618e+07,-5.37931e+07,-4.16162e+07,-4.24234e+07,-4.87994e+07,-2.94658e+07,-6.69892e+07,1.7328e+07,-6.57146e+07,-3.59948e+07,-6.86544e+07,-5.81426e+07,-4.79744e+07,-4.35642e+07,-7.30415e+07,-5.7869e+07,-8.4869e+07,-4.65223e+07,-3.03353e+08,79,102,130,276,458,605,637,708,787,809,916,935,1237,1407,1868,2034,2151,2584,2665,3219,3304,3653,4087,4434,4900,5611,5613,9511,10150,18460,7.60658,0.997328,0.869695,0.710507,0.672135,0.577745,0.57174,0.521637,0.49659,0.469294,0.459869,0.416852,0.410533,0.397793,0.344376,0.320012,0.297478,0.28704,0.260235,0.240275,0.229376,0.214137
86,21750,322,13680,4199.27,3538.76,5.06863e+07,-1.65859e+06,-5.9257e+06,-7.21959e+07,-3.29257e+07,-6.18252e+07,-5.00961e+07,-4.34531e+07,-6.4299e+07,-4.12171e+07,-5.73385e+07,2.26036e+07,-7.54229e+07,-3.32351e+07,-8.70378e+07,-7.33134e+07,-5.39631e+07,-6.75141e+07,-9.20561e+07,-7.02565e+07,-1.06511e+08,-5.86294e+07,-3.78209e+08,322,376,455,659,679,680,1059,1381,1867,2072,2150,2257,2481,3018,3151,3653,3823,3977,4430,4485,4648,5624,6417,6469,7279,8075,8997,10327,11487,13680,7.59122,0.98966,0.864082,0.698635,0.66977,0.566934,0.564379,0.526092,0.487167,0.468297,0.450689,0.409596,0.405668,0.39415,0.345243,0.318671,0.295471,0.286402,0.255418,0.237063,0.225962,0.211377
87,22000,165,13425,5456.1,3861.15,6.40469e+07,-1.21092e+07,1.89982e+07,-8.28587e+07,-3.23364e+07,-7.1492e+07,-6.1943e+07,-3.62847e+07,-6.9788e+07,-5.10038e+07,-7.10355e+07,2.66306e+07,-9.01674e+07,-6.57975e+07,-1.04572e+08,-9.07918e+07,-6.34543e+07,-1.08033e+08,-1.14368e+08,-9.59845e+07,-1.46838e+08,-6.71533e+07,-4.80206e+08,165,308,643,1026,1527,1551,2296,2334,2469,2477,2538,3058,4241,4352,4794,4975,5399,5399,6051,6237,7765,8404,8730,9572,10327,10327,10914,11005,11374,13425,7.716,0.991884,0.915852,0.693615,0.671336,0.572362,0.555905,0.516446,0.480858,0.470885,0.448581,0.403208,0.398681,0.387632,0.339891,0.313511,0.291784,0.277799,0.24757,0.230728,0.226974,0.210052
88,22250,36,28639,7039.47,6475.01,7.77664e+07,-1.16982e+07,2.19739e+07,-8.63418e+07,-2.73556e+07,-6.0345e+07,-6.2928e+07,-4.58912e+07,-7.24101e+07,-5.92896e+07,-7.83767e+07,3.77672e+07,-1.15892e+08,-7.41762e+07,-1.30121e+08,-9.36982e+07,-7.73935e+07,-1.34873e+08,-1.12158e+08,-1.14459e+08,-1.58569e+08,-8.84587e+07,-5.71087e+08,36,383,539,581,789,846,1612,2598,2986,3415,4151,4253,4265,4843,5085,5313,5882,7320,8099,8223,8293,9258,9601,10061,10446,11634,15964,17808,18261,28639,7.54626,0.991929,0.926838,0.676606,0.661235,0.562403,0.549547,0.512703,0.473931,0.463436,0.43585,0.405966,0.389947,0.379845,0.337631,0.308536,0.286706,0.275275,0.245887,0.228067,0.220479,0.205112
89,22500,161,19291,6484.8,5882.56,9.91327e+07,-5.23248e+06,1.0803e+07,-9.46329e+07,-6.38764e+07,-7.28196e+07,-8.43478e+07,-5.37524e+07,-1.09286e+08,-8.05487e+07,-1.17876e+08,5.66434e+07,-1.42638e+08,-1.08414e+08,-1.62656e+08,-1.37655e+08,-1.2621e+08,-1.80926e+08,-1.58248e+08,-1.48508e+08,-2.03949e+08,-1.13303e+08,-7.6245e+08,161,530,1030,1067,1329,1816,1847,2688,2799,2937,3208,3316,3660,3757,3820,4384,4536,4558,5513,5695,6253,7972,9716,11192,13753,14013,16659,18385,18659,19291,7.75696,0.974131,0.916502,0.663741,0.656073,0.553865,0.545874,0.507133,0.471605,0.459614,0.436587,0.405036,0.392967,0.381838,0.331906,0.301858,0.282801,0.271103,0.242937,0.224657,0.218434,0.203035
90,22750,141,18255,5284.4,4941.85,1.2075e+08,-1.94176e+07,-963803,-8.54176e+07,-1.25555e+08,-9.82149e+07,-1.13585e+08,-7.86584e+07,-1.29894e+08,-1.12637e+08,-1.62427e+08,6.71541e+07,-1.77012e+08,-1.43703e+08,-2.00307e+08,-1.69511e+08,-1.64124e+08,-1.77039e+08,-1.89469e+08,-1.66971e+08,-2.42338e+08,-1.35019e+08,-9.05487e+08,141,232,487,518,530,673,711,788,799,1194,1590,2949,3205,3835,4773,4809,5147,5784,6256,6334,6699,6833,7433,7433,8381,10600,12370,13152,16621,18255,7.77096,0.958533,0.891452,0.671752,0.637044,0.555055,0.541715,0.513672,0.463015,0.45019,0.438399,0.401334,0.38353,0.381263,0.333871,0.298447,0.277895,0.263306,0.237947,0.22353,0.213647,0.198738
