generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29
39,4000,38,691,244.833,151.42,1.23792,-3.82389,-22.276,-12.9962,-16.7164,-14.751,-16.021,-16.121,-16.1413,-23.1755,-2.47037,-14.2182,-11.0364,-15.329,-15.7359,-15.0705,-12.0316,-10.1441,-8.49657,-15.2498,-16.5463,-55.4741,38,91,96,113,121,124,125,129,148,159,159,162,162,173,174,215,228,236,254,279,280,337,338,348,359,363,368,470,605,691
40,4100,93,847,347.2,185.215,1.9758,-2.91835,-21.3784,-11.9649,-19.3782,-15.4604,-17.111,-16.6062,-14.6515,-22.1683,-3.3297,-14.1221,-11.5029,-15.8311,-15.7553,-16.0299,-13.1871,-10.8031,-8.67884,-13.7389,-15.4527,-54.7512,93,119,143,149,171,191,192,205,209,211,227,245,254,259,319,340,341,352,365,389,445,450,453,471,511,588,602,619,656,847
41,4200,50,621,284.867,158.923,2.81556,-2.07709,-23.3054,-11.9623,-17.9734,-13.8088,-15.7172,-15.3842,-15.7144,-20.7783,-1.12827,-12.607,-11.5834,-15.3787,-15.6662,-15.9686,-14.1475,-10.5916,-6.4116,-15.0339,-15.498,-54.1656,50,60,89,111,136,156,158,161,185,187,201,205,207,213,215,260,267,268,270,356,367,369,449,461,466,467,507,541,543,621
42,4300,75,767,227.967,163.22,5.34063,-2.83336,-23.5325,-11.4021,-17.1847,-14.9051,-17.1618,-16.6183,-18.3204,-19.3187,-1.26479,-14.3508,-11.5987,-16.9021,-15.7121,-14.3397,-13.0057,-11.1936,-7.85513,-14.1022,-16.4841,-53.488,75,81,83,91,96,98,100,109,110,115,119,121,121,149,152,186,211,212,215,222,245,293,305,379,401,407,428,466,482,767
43,4400,85,533,270.967,139.68,4.26124,-2.08977,-23.1218,-12.0488,-17.1865,-13.5456,-16.9531,-15.0899,-17.9673,-18.8969,-1.71524,-16.2008,-11.508,-15.0718,-18.1103,-13.0499,-14.2731,-12.1884,-8.59399,-13.6634,-17.113,-58.1624,85,93,93,107,109,137,138,141,145,168,203,221,222,227,233,248,251,252,277,369,378,383,412,412,430,432,457,467,506,533
44,4500,69,592,247.867,166.875,1.625,-5.13805,-22.5387,-13.0815,-18.6753,-15.6314,-15.7386,-15.401,-18,-18.8752,-1.22643,-17.1832,-13.3504,-15.8248,-16.8028,-11.8448,-14.0651,-12.2607,-8.76012,-15.1908,-17.6317,-63.0314,69,69,91,94,111,121,130,137,138,149,151,158,159,162,164,189,190,196,198,255,260,277,325,367,511,518,533,534,588,592
45,4600,25,773,292.967,190.355,-0.0797062,-4.54577,-23.0344,-12.9328,-18.5188,-15.0168,-15.917,-17.9999,-18.4646,-21.0604,-0.794743,-16.5854,-11.6406,-16.1485,-16.2096,-12.0508,-14.2995,-12.7846,-7.62503,-15.4308,-16.7496,-65.4018,25,75,75,96,100,109,113,126,129,147,160,173,194,237,281,287,333,334,339,349,351,397,397,475,484,507,534,571,618,773
46,4700,24,1731,357.733,324.183,-0.428685,-3.72996,-24.1553,-13.4653,-19.7057,-14.6708,-15.8863,-19.2063,-16.7623,-21.8912,-0.798542,-17.8162,-11.712,-15.5741,-15.1602,-11.6328,-14.5357,-10.4026,-6.60045,-17.0961,-17.2826,-66.3092,24,65,88,136,163,169,173,183,197,206,226,233,249,249,269,271,293,323,331,334,371,400,443,446,467,510,537,648,997,1731
47,4800,30,1338,266.167,238.318,-1.33404,-3.58281,-23.5064,-12.8274,-18.703,-14.0394,-15.6166,-19.8497,-16.4244,-22.6047,-2.37651,-18.9849,-9.97741,-16.2517,-13.0519,-13.4735,-15.0677,-12.2163,-6.47328,-16.3123,-17.2663,-65.711,30,81,85,100,111,112,117,126,135,138,172,179,181,193,201,216,216,231,260,283,286,290,315,359,392,412,431,473,522,1338
48,4900,59,960,314.3,202.704,-1.26738,-3.66309,-24.2227,-15.0814,-20.1941,-13.2368,-18.1938,-19.3689,-17.428,-23.5601,-4.41959,-18.7414,-6.78327,-16.3206,-10.7982,-15.02,-13.5609,-13.1024,-7.21597,-17.6012,-19.4462,-66.4942,59,64,92,141,144,157,183,188,198,199,212,223,229,269,271,282,299,307,313,321,330,342,361,440,442,455,507,719,722,960
49,5000,65,1137,345.6,243.265,-1.97582,-5.48431,-24.8884,-16.3014,-20.517,-12.312,-17.9609,-18.6676,-19.2775,-23.8955,-6.2347,-19.2143,-6.02324,-16.0007,-10.6537,-16.3801,-14.1643,-11.3615,-7.78993,-17.0555,-19.1519,-68.4132,65,66,113,122,147,166,170,180,183,220,228,241,242,245,253,287,345,348,349,387,391,397,426,430,494,531,539,762,904,1137
50,5100,33,764,333.5,199.274,-1.50934,-6.02235,-21.7128,-18.1373,-17.1629,-12.7667,-17.3172,-21.597,-17.9335,-24.0858,-7.03756,-19.3851,-5.13672,-16.5671,-9.0235,-17.9482,-13.4671,-10.6588,-7.0459,-15.6532,-18.4797,-68.9964,33,60,69,99,114,116,149,169,171,181,189,266,284,288,292,330,364,401,402,446,449,467,474,490,521,522,591,643,661,764
51,5200,31,713,317.7,173.076,-0.786434,-3.98167,-23.689,-17.1428,-18.5907,-15.2172,-16.2052,-19.3319,-16.4255,-24.7012,-3.99148,-19.0218,-6.4094,-16.4373,-9.38438,-19.6694,-13.0168,-10.8123,-8.56324,-14.5674,-17.6279,-66.7721,31,52,68,73,124,161,191,199,206,215,229,231,246,270,302,343,355,363,391,397,413,417,432,444,481,538,543,543,560,713
52,5300,37,1077,297.7,221.261,-0.763349,-4.51063,-24.1142,-16.8884,-18.9348,-15.7949,-17.7068,-20.2666,-18.0113,-23.8332,-3.60129,-19.6129,-6.65153,-16.2132,-9.43091,-18.4906,-9.72975,-10.6416,-11.288,-15.0021,-17.8733,-66.9698,37,81,95,102,108,109,115,150,167,173,179,187,205,244,246,246,251,267,277,313,350,390,398,407,438,485,521,566,747,1077
53,5400,67,1263,362.433,252.699,0.870495,-3.31143,-24.6693,-17.088,-19.6575,-14.7207,-18.3663,-18.8094,-17.6805,-24.8632,-4.62092,-19.1535,-6.49594,-16.9219,-8.81263,-15.7295,-10.7052,-10.9014,-9.95786,-15.1555,-18.3468,-69.2679,67,91,125,131,144,156,169,173,174,179,188,218,225,275,330,334,335,365,408,428,434,496,498,527,558,574,607,628,773,1263
54,5500,81,1319,326.833,271.801,-1.59483,-3.16594,-24.0915,-16.494,-18.7115,-17.5737,-19.405,-19.0042,-15.1615,-24.8798,-5.17866,-17.5325,-5.98079,-16.7488,-8.50668,-15.1455,-11.4587,-12.8553,-8.72609,-14.9679,-19.5589,-70.6434,81,91,92,95,121,153,158,163,178,185,188,202,203,233,242,262,263,271,276,330,335,373,445,455,462,470,491,647,1021,1319
