generation,agents,minScore,maxScore,meanScore,standardDeviation,stepSize,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21
165,2158,923,211370,38112.5,44042,0.332658,10.8461,6.09252,-5.12435,-1.31805,-2.84473,1.35148,-2.05897,-4.39871,0.99888,-4.25709,6.8149,-10.3815,-4.56528,-9.61025,-5.10429,-6.67813,-6.46789,-10.8367,-5.73814,-9.7102,-6.63226,-40.3352,923,1429,1640,3629,3755,6859,7650,9326,12652,12735,13096,15319,15418,19193,20363,25569,33484,34417,36886,37416,38138,38869,54623,55195,65612,81882,85489,94978,105461,211370,3.17343,1.64343,1.29829,1.22281,1.0827,1.07189,0.98872,0.873457,0.845036,0.77956,0.745125,0.724841,0.692874,0.640866,0.608123,0.589349,0.554403,0.5214,0.517707,0.496935,0.485684,0.43347
166,2171,503,131956,38637.5,39654.3,0.346047,10.8508,5.98552,-5.18928,-1.33511,-3.04883,1.3743,-2.04986,-4.66728,0.802302,-4.34127,6.75237,-10.2662,-4.6144,-9.7801,-5.35318,-6.42078,-6.35599,-10.8766,-5.57641,-9.89894,-6.63477,-40.1386,503,2505,4722,5194,5199,5726,6882,7503,7563,9837,10306,11172,11969,14569,23986,25575,30332,31607,36362,37470,51190,52622,61127,74054,78023,86581,99665,102998,131927,131956,3.16828,1.68461,1.32152,1.2161,1.0875,1.06307,0.981916,0.876172,0.844501,0.778828,0.741786,0.721934,0.693297,0.640957,0.611975,0.585992,0.555245,0.522017,0.514429,0.497127,0.481065,0.430603
167,2184,175,161872,42549.9,42363.7,0.352709,10.5606,5.94947,-5.07376,-1.29217,-3.1622,1.26219,-2.23697,-4.49053,0.958455,-4.04797,6.64238,-10.3523,-4.73168,-9.77277,-5.35193,-6.33054,-6.3026,-10.8907,-5.65203,-9.89861,-6.79402,-39.9505,175,378,3585,6059,6269,8943,10030,14530,17755,17853,18987,20687,21415,21752,22795,28053,35841,41549,44730,48827,48878,50226,56745,58303,68765,69746,93275,135864,142610,161872,3.16363,1.74122,1.32298,1.20877,1.08319,1.05415,0.980747,0.878296,0.842065,0.774072,0.736758,0.719826,0.696437,0.641294,0.608936,0.58179,0.552494,0.524074,0.514198,0.497747,0.48012,0.429478
168,2197,1328,200933,33184.8,40845.5,0.359879,10.6052,5.70813,-5.44565,-1.27288,-3.32685,1.57036,-2.43712,-4.61561,1.12712,-3.91057,6.60991,-10.3477,-4.85514,-9.96968,-4.93324,-6.37831,-6.65169,-10.8122,-5.60154,-10.0853,-6.82834,-40.3668,1328,1514,2790,3504,3736,4046,7179,7974,8326,8758,9581,12177,14274,14620,15822,16910,20511,20752,28709,43340,44987,48876,49184,52598,55004,56926,63448,76689,101048,200933,3.15386,1.78248,1.32927,1.20862,1.08044,1.05175,0.98134,0.875374,0.83879,0.788144,0.735152,0.717111,0.700562,0.644861,0.605397,0.58092,0.552336,0.522951,0.513963,0.493951,0.481037,0.425656
169,2210,661,128889,37655.4,36610.1,0.372485,10.695,5.76382,-5.79644,-1.47128,-3.13931,1.70837,-2.28195,-4.96052,1.0263,-4.08111,7.1135,-10.4547,-4.86001,-10.0878,-4.62579,-6.5325,-6.99735,-10.6364,-6.03121,-10.3166,-7.10995,-40.6781,661,1457,2376,2867,3344,4025,5241,5524,6416,6699,8238,10238,23554,23686,26563,29149,29868,30638,37350,41872,53477,67387,67787,72123,73084,74317,91232,94589,107011,128889,3.18282,1.82485,1.34007,1.19891,1.08449,1.04601,0.99728,0.870912,0.834731,0.797162,0.735001,0.724608,0.701659,0.647428,0.600263,0.576796,0.547585,0.527002,0.510496,0.489713,0.476448,0.424277
170,2223,256,148197,36814.4,36708.3,0.379585,10.8906,5.70572,-5.70367,-1.65923,-2.73913,1.66499,-2.23898,-4.96742,1.04642,-3.90012,7.13512,-10.603,-5.13666,-10.2074,-4.69609,-6.62677,-7.19784,-10.7974,-6.06717,-10.5177,-6.93393,-40.8827,256,410,2857,4455,4458,8045,8226,9124,12753,14864,15974,17048,17388,17920,19106,23731,26813,38948,40570,41561,41888,47714,51639,52593,62416,71570,93661,99460,110786,148197,3.21407,1.85556,1.34099,1.19221,1.08853,1.06175,0.994521,0.875675,0.832273,0.799007,0.731924,0.719005,0.69873,0.646691,0.600853,0.572993,0.544166,0.525003,0.515804,0.48616,0.472231,0.421649
171,2236,1193,149577,45466.3,38981.4,0.378848,10.6586,5.9081,-5.66201,-1.43558,-2.59985,1.53455,-2.30806,-4.88493,0.739629,-3.95837,7.20192,-10.43,-5.21824,-10.1271,-4.70522,-6.38587,-7.03283,-10.951,-6.05974,-10.6571,-7.09557,-41.059,1193,7125,8648,8835,10195,10846,11778,12562,12751,16572,16748,23920,24260,26286,26588,34711,42374,43735,47518,52709,57207,59260,80319,81053,85623,92213,99537,105080,114766,149577,3.2459,1.86565,1.33637,1.18436,1.08843,1.05904,0.988864,0.868611,0.827903,0.79601,0.726962,0.722104,0.701982,0.643092,0.603996,0.57047,0.541598,0.521863,0.514599,0.488806,0.469376,0.419188
172,2249,555,148120,32001.5,34198.9,0.376699,10.6858,5.62744,-5.48232,-1.48812,-2.61453,1.59797,-2.21543,-4.93719,0.686408,-4.14337,6.95662,-10.533,-5.47534,-10.1755,-4.87274,-6.01123,-6.95855,-10.5724,-5.8169,-10.3776,-7.06943,-40.4086,555,703,2347,3257,3491,3516,4496,5518,8134,8185,10398,14367,15058,15875,17136,22073,26879,27636,35789,36801,41886,42532,47122,48210,52757,59017,76724,85504,95958,148120,3.27394,1.93847,1.3386,1.18569,1.08276,1.05404,0.990447,0.866487,0.827277,0.790369,0.726887,0.718677,0.699361,0.640704,0.604838,0.576729,0.537496,0.520054,0.510612,0.494745,0.465844,0.415198
173,2262,3665,113384,34250.4,25537.7,0.364767,10.6135,5.80074,-5.60236,-1.52933,-2.67486,1.5144,-1.98481,-5.12684,0.561318,-4.18038,7.0884,-10.4792,-5.28718,-10.4024,-4.71361,-6.22931,-6.75333,-10.7385,-5.97536,-10.3671,-6.89992,-40.5117,3665,6787,7311,7888,10292,12414,13935,16006,17852,18319,22635,22799,24573,25254,25476,26867,27042,32109,32415,32780,42382,47413,53160,53412,54895,57286,63181,76806,79175,113384,3.24579,1.97203,1.34814,1.17592,1.07412,1.06196,0.986081,0.86229,0.820163,0.7862,0.728382,0.716314,0.696413,0.644541,0.604258,0.575935,0.535874,0.518178,0.50689,0.492937,0.463697,0.411697
174,2275,421,184041,29756.8,38174.6,0.35689,10.3403,5.81266,-5.54557,-1.2111,-2.87763,1.59218,-2.0592,-5.26706,0.629812,-4.08912,7.22055,-10.2584,-5.09929,-10.4815,-4.70893,-6.13169,-7.11905,-10.5186,-5.96845,-10.4399,-6.79786,-40.1631,421,705,1096,1618,1739,2553,3693,5711,5731,5908,6524,9258,10965,13656,17254,18546,24610,25177,25572,34744,37934,38366,38607,39859,41197,53340,68451,83025,92402,184041,3.22575,2.00397,1.3627,1.17303,1.06801,1.05641,0.997591,0.859409,0.817993,0.794292,0.739345,0.714424,0.69081,0.641043,0.601577,0.571123,0.53186,0.519341,0.502853,0.49565,0.459374,0.41084
