generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29
419,5460,885,66059,22262.5,17946.9,66.3697,30.8706,-32.7919,11.597,-12.1063,-6.08464,-4.1297,-19.6942,7.38825,-20.9153,27.0033,-56.3745,-25.2743,-28.2367,-32.0701,-52.7978,-24.9953,-42.8203,-21.3358,-48.8966,-24.6158,-178.152,885,3410,4908,8280,8334,8480,8595,8919,9535,10349,11012,12351,14533,14592,14856,16538,17609,18736,20516,22610,26902,27311,28520,31182,37820,42766,52087,57541,62638,66059
420,5473,1884,100665,26345.2,24485.6,67.6653,30.0095,-33.6496,10.5404,-14.2204,-5.64694,-5.17576,-17.4826,8.47559,-21.0193,24.5837,-55.6005,-24.1912,-27.4145,-32.432,-52.112,-25.2943,-44.921,-19.2263,-48.7956,-23.775,-178.8,1884,2560,3136,5283,5929,7072,7863,8564,11238,11299,11995,12016,16311,16625,19164,20540,21579,24102,24285,32210,32596,33847,35808,36077,38806,41393,45673,75137,86700,100665
421,5486,2882,154174,39568.7,32618,69.8225,30.7019,-31.7535,9.97183,-12.4458,-4.18461,-2.37163,-15.3062,9.68436,-21.0678,26.9711,-52.5349,-25.2579,-28.1994,-31.1378,-51.0405,-25.4298,-44.7988,-19.158,-48.6267,-24.0231,-179.569,2882,3097,3709,8819,11703,12565,15459,17412,24559,27879,28017,28278,29731,30188,33820,34924,36382,38170,39576,41426,42105,42408,50084,55878,56295,57820,60505,80794,118402,154174
422,5499,2271,292334,56354,64820.9,69.3682,31.9973,-31.7439,9.76485,-13.3911,-3.92458,-3.48124,-11.339,9.30686,-21.136,25.6207,-53.3012,-23.6797,-28.7426,-28.8754,-51.2064,-26.0093,-43.2318,-20.8003,-47.9636,-23.6968,-180.524,2271,2718,2718,3499,3543,6567,7538,10633,11903,12634,15245,16447,33407,33888,34585,36754,46279,49217,55773,63729,65101,70114,74490,87905,89754,100422,127168,139240,194744,292334
423,5512,2522,151384,54237.7,44559.4,66.7491,32.9819,-31.4537,10.2375,-12.0548,-2.30063,-6.47088,-12.0016,9.95398,-20.1327,26.1496,-52.3222,-23.869,-28.8018,-29.3445,-49.9183,-26.6189,-45.5259,-20.9359,-46.1613,-25.523,-180.966,2522,6002,6763,6773,12321,13522,15091,16964,21080,22062,22570,23806,26896,30107,43072,45122,49945,55810,57026,59972,73937,77661,86886,87812,112601,117922,120977,126369,134157,151384
424,5525,2468,243687,64663.8,60915.8,68.6586,33.7181,-31.9628,9.83543,-14.285,-3.89322,-8.26926,-12.1802,9.15996,-19.4086,27.8366,-49.3016,-23.8021,-28.7615,-30.0101,-48.9631,-27.6699,-48.0787,-20.7627,-44.5443,-22.3919,-180.076,2468,5335,9070,9939,10425,10471,13379,21589,22106,24065,31099,33282,33308,42291,43377,44369,50252,55234,58340,60350,64803,97105,107230,114437,121461,128211,128396,148812,205023,243687
425,5538,527,341719,80437.4,87874,74.3979,35.7283,-30.6709,7.34344,-12.2551,-3.23038,-6.57054,-12.7841,8.47644,-18.6703,27.4055,-50.6456,-24.0721,-28.662,-28.7806,-47.1065,-29.0241,-47.7509,-20.38,-43.6335,-21.5517,-182.232,527,3110,7986,16666,16811,19067,20496,21907,22838,31640,33902,36182,45769,47282,49410,50911,51436,54831,61002,73581,76322,79850,103596,129055,138198,174476,177438,187073,340040,341719
426,5551,3307,231880,73973.3,62634.9,71.7,36.3864,-30.1141,6.97835,-13.2877,-3.29591,-7.9764,-10.2525,7.47725,-18.5241,27.4557,-49.0987,-24.5147,-27.8464,-29.3732,-44.7182,-29.7338,-45.5231,-20.803,-43.2874,-24.525,-182.871,3307,7309,8089,10759,13719,18515,19602,23225,24286,38719,38959,41720,47455,53968,59403,60745,61535,62264,71513,75006,77783,109132,111587,115887,144498,144577,152352,174531,216873,231880
427,5564,4211,210917,50896.6,47892.5,69.1741,36.9356,-30.57,8.23123,-11.1579,-3.97942,-10.8283,-13.2303,8.48389,-18.3901,26.8812,-49.0264,-28.0963,-29.5492,-29.5681,-45.1138,-29.9142,-45.3617,-17.3826,-42.9702,-25.8267,-180.663,4211,7473,7525,8252,9660,12473,12865,14628,17260,20451,23281,28757,29927,33727,34757,40620,44032,46096,46762,54834,60637,68077,69900,74949,79726,86256,94407,123395,161043,210917
428,5577,1485,155962,49252.2,45256.3,71.0724,36.2996,-30.2031,6.96884,-9.32479,-3.63792,-13.401,-10.2414,8.20697,-16.2087,26.5253,-49.1918,-27.9792,-30.1708,-29.2047,-45.1816,-30.213,-47.074,-17.4394,-41.9561,-26.8958,-179.574,1485,3562,4849,7191,7810,8005,8328,11109,11815,18292,19710,20560,27344,29200,32250,38080,39496,41720,42661,55838,57094,71758,84882,94254,102204,108441,113700,115821,144146,155962
429,5590,2399,189141,38767.6,42383.8,66.1895,37.9147,-29.2665,7.89954,-10.7256,-2.38052,-13.4186,-7.01568,7.07082,-16.3442,27.7746,-49.6949,-28.2421,-28.7015,-28.8424,-43.3607,-30.7724,-47.5149,-16.4864,-42.1481,-28.4706,-180.006,2399,2509,5571,5790,7681,10259,10890,11004,11189,12935,16885,16995,17173,19011,24419,25977,27691,28138,28330,28928,39955,47281,47961,60784,61863,80417,93845,111235,116771,189141
430,5603,868,112198,28041.9,30605.4,65.0204,36.1942,-28.7063,8.33705,-10.0568,-2.87798,-16.3721,-3.80038,6.52213,-15.0439,28.6386,-52.3685,-31.0875,-29.096,-29.1491,-50.7371,-32.3659,-47.1114,-17.4273,-42.0019,-28.8411,-179.309,868,1778,1805,1989,2829,3608,3726,4149,5730,6050,6977,7014,9741,12383,14544,14916,16306,16466,22626,30692,35158,37677,54817,56629,60424,64967,71011,80807,83372,112198
431,5616,386,88087,28331.6,24662.6,64.4071,38.3,-30.6312,8.85518,-9.0363,-1.86424,-14.6429,-3.41848,8.12712,-16.9166,27.7161,-54.2029,-32.3803,-30.2037,-29.9743,-47.559,-32.2474,-48.5761,-18.5199,-41.3669,-30.0255,-179.373,386,618,1634,5672,6434,8421,10115,11735,13194,13292,13319,13820,14417,15883,16251,16259,18606,25068,29412,30047,37918,42272,47724,48209,51152,53317,64262,69484,82940,88087
432,5629,247,155520,42178.2,42955.9,64.6465,39.0727,-30.7845,7.56765,-8.14889,-1.41624,-15.68,-5.0148,6.41071,-19.5438,27.6943,-53.2308,-27.6206,-30.5156,-28.095,-50.1317,-31.9754,-45.3593,-17.5658,-42.6624,-29.579,-180.854,247,2124,2961,4515,4954,5830,6867,11462,12202,13494,15472,19514,22967,23955,29543,34556,36763,36867,39374,41224,41765,47313,53781,57758,75283,95039,102082,131281,140632,155520
433,5642,1949,245632,43823.1,49890.8,63.4023,37.5464,-31.7762,10.2144,-9.65872,-1.859,-15.7888,-5.13937,4.68227,-18.6617,26.8949,-53.3234,-25.8358,-30.8318,-27.0679,-49.3997,-31.291,-46.2611,-19.5689,-42.1881,-28.8771,-185.121,1949,2292,4708,6339,10813,11416,12454,12547,13945,14116,14947,15278,16287,16877,19657,28606,30107,41033,42566,53243,56133,60436,62935,67977,68178,75538,84191,90301,134192,245632
434,5655,2527,167013,57892.9,52697.3,61.8333,39.0762,-33.0295,9.41966,-9.12415,-0.891475,-16.9802,-4.84719,4.94429,-18.0556,25.5723,-51.7099,-29.5489,-33.1221,-26.5172,-54.417,-31.5526,-45.692,-18.3769,-42.194,-29.8355,-184.713,2527,2826,6083,6939,7002,7951,13092,13564,18496,19934,21873,26348,27048,31610,32670,44829,45434,49183,58211,64421,75046,76826,101654,119420,123445,130108,142409,145186,155640,167013
435,5668,339,131182,38471.6,35557.1,61.9035,41.0929,-34.6987,9.74153,-10.4221,-1.01731,-16.8042,-4.26782,6.02717,-17.4277,25.3718,-46.2883,-27.9342,-31.7389,-25.1254,-52.1593,-32.1004,-44.4719,-20.023,-40.9466,-28.9393,-184.865,339,5067,6952,7403,8389,9942,18731,18959,19591,19964,21026,23280,24583,24699,27813,29766,30026,30310,31593,33932,35477,37721,39844,43455,54385,81037,104535,106643,127503,131182
436,5681,2053,175071,41734.7,41821.3,63.7577,38.4549,-34.0758,9.17738,-3.58112,-0.146944,-17.0803,-4.57725,3.83925,-17.2263,25.0197,-51.7288,-27.4285,-34.0226,-25.2493,-52.7311,-31.6275,-44.8544,-20.4459,-43.9703,-29.1163,-185.084,2053,2855,3432,6505,7449,8407,13422,14643,15482,17990,18215,18544,20070,22485,26425,26469,29024,30992,35382,46292,48104,50412,57894,66017,68595,76760,99070,110747,133235,175071
437,5694,1691,180408,45291.1,50356.2,62.377,37.5543,-33.2266,10.8306,-4.69118,1.74689,-14.8763,-4.22676,4.83462,-18.7576,25.3221,-52.4714,-29.6774,-35.5214,-25.2377,-53.9011,-31.8719,-43.232,-18.977,-44.8132,-26.6537,-185.477,1691,1919,3525,5434,5918,8909,11447,12238,12496,14492,15110,21089,24912,26570,27243,27426,32185,34977,35140,38146,40898,41871,46892,69663,85373,100180,101023,153496,178063,180408
