generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21
66,6700,127,5452,1314.73,1282.57,-14.6398,-2.26585,-9.41934,-8.14846,-5.63383,-6.03097,-6.64338,-10.3792,-3.85261,-10.9429,-0.914838,-3.45793,-4.11966,-4.07961,-1.58079,-5.04354,-6.42877,-7.46077,-6.18857,-6.95849,-7.41479,-25.8731
67,6800,64,2798,1016.57,868.989,-14.6418,-2.26534,-9.41933,-8.14873,-5.63391,-6.03093,-6.64337,-10.4048,-3.85261,-10.9436,-0.910118,-3.41595,-4.11972,-4.08457,-1.58338,-5.04462,-6.42704,-7.46061,-6.18918,-6.95839,-7.41447,-25.8731
68,6900,118,5962,1092.47,1232.17,-14.6419,-2.26517,-9.41935,-8.14853,-5.63339,-6.03067,-6.64336,-10.4547,-3.85254,-10.9449,-0.908873,-3.42976,-4.11977,-4.08368,-1.58031,-5.04455,-6.42839,-7.46056,-6.18864,-6.95834,-7.41517,-25.8731
69,7000,93,3924,1089.43,1036.01,-14.6411,-2.26386,-9.41928,-8.14851,-5.63294,-6.03027,-6.64332,-10.4351,-3.85253,-10.9456,-0.906621,-3.44128,-4.11977,-4.08692,-1.57622,-5.04487,-6.42813,-7.46011,-6.18909,-6.95843,-7.41509,-25.8731
70,7100,20,2528,812.833,657.984,-14.6403,-2.26451,-9.41927,-8.1483,-5.63322,-6.02973,-6.64329,-10.4203,-3.85259,-10.9465,-0.908801,-3.46085,-4.11987,-4.08784,-1.57548,-5.04488,-6.42934,-7.46036,-6.18976,-6.9585,-7.41632,-25.8731
71,7200,101,3232,723.233,660.764,-14.6413,-2.26629,-9.41933,-8.14821,-5.63301,-6.02954,-6.64329,-10.4585,-3.85259,-10.9454,-0.904085,-3.43182,-4.1198,-4.08847,-1.576,-5.04418,-6.43004,-7.46163,-6.18967,-6.95857,-7.41664,-25.8731
72,7300,74,3848,964.9,985.262,-14.6407,-2.26652,-9.41932,-8.14825,-5.63308,-6.02974,-6.6433,-10.4724,-3.85251,-10.9461,-0.898349,-3.37199,-4.11979,-4.08342,-1.57439,-5.0443,-6.43006,-7.46162,-6.18978,-6.95863,-7.41663,-25.8731
73,7400,106,3413,1199.93,962.569,-14.6409,-2.26642,-9.41931,-8.14812,-5.63324,-6.02915,-6.64332,-10.4662,-3.85255,-10.9456,-0.90981,-3.28747,-4.11978,-4.08577,-1.57352,-5.044,-6.42971,-7.4617,-6.18955,-6.95849,-7.41621,-25.8731
74,7500,123,3476,1115.07,854.487,-14.6406,-2.26541,-9.41929,-8.14811,-5.63345,-6.03037,-6.64335,-10.488,-3.85255,-10.9455,-0.904806,-3.3334,-4.11981,-4.08402,-1.57345,-5.04426,-6.4272,-7.46127,-6.18945,-6.95842,-7.4151,-25.8731
75,7600,147,5283,1171.23,1182.26,-14.6407,-2.26554,-9.4193,-8.14815,-5.63317,-6.03025,-6.64336,-10.4838,-3.85251,-10.9451,-0.90992,-3.31717,-4.11982,-4.07969,-1.57299,-5.0447,-6.4275,-7.46061,-6.18959,-6.95843,-7.41567,-25.8731
76,7700,80,2850,991.833,857.168,-14.6407,-2.26575,-9.41928,-8.14817,-5.63313,-6.03023,-6.64335,-10.4748,-3.85248,-10.9456,-0.905957,-3.35215,-4.11981,-4.08238,-1.57359,-5.04445,-6.42776,-7.46034,-6.18973,-6.95841,-7.41499,-25.8731
77,7800,10,3896,919.1,934.486,-14.641,-2.26553,-9.41928,-8.14818,-5.63325,-6.03019,-6.64332,-10.4867,-3.85246,-10.9457,-0.90529,-3.35794,-4.1198,-4.08847,-1.57247,-5.04442,-6.42969,-7.45989,-6.1896,-6.95852,-7.41533,-25.8731
78,7900,99,3858,1074.43,926.078,-14.6414,-2.26545,-9.41925,-8.14823,-5.63324,-6.03047,-6.64332,-10.4959,-3.85246,-10.9452,-0.905099,-3.34552,-4.1198,-4.08951,-1.57154,-5.04424,-6.4312,-7.46014,-6.18969,-6.95853,-7.41568,-25.8731
79,8000,103,5371,1122.17,1049.93,-14.6411,-2.26499,-9.41925,-8.14817,-5.63323,-6.03025,-6.64332,-10.4952,-3.85248,-10.9452,-0.901942,-3.3473,-4.1198,-4.09493,-1.57171,-5.04423,-6.42976,-7.46067,-6.18945,-6.95859,-7.41625,-25.8731
80,8100,58,4147,1031.83,947.969,-14.6413,-2.2658,-9.41927,-8.14812,-5.63315,-6.03003,-6.64332,-10.4891,-3.85251,-10.9448,-0.900582,-3.3505,-4.1198,-4.0968,-1.57145,-5.04417,-6.42939,-7.46057,-6.18934,-6.95856,-7.41592,-25.8731
