generation,agents,minScore,maxScore,meanScore,standardDeviation,stepSize,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21
470,6123,35,513,184.633,103.063,0.4835,-4.04199,-3.52318,-12.3784,-6.91126,-9.2613,-10.3486,-7.68228,-9.10956,-8.8169,-13.4344,0.595122,-8.91646,-2.33426,-4.8661,-4.39768,-5.45625,-6.26167,-3.3383,-6.91522,-6.72752,-7.45282,-20.9169
471,6136,62,767,198.067,152.835,0.491175,-4.0598,-3.54785,-12.6717,-7.10818,-9.19229,-10.2666,-8.08678,-9.0219,-8.70135,-13.7956,0.731028,-9.01135,-2.57175,-5.60275,-4.58988,-5.3627,-6.07397,-3.40857,-7.47223,-6.82436,-7.71298,-21.2331
472,6149,42,439,183.133,96.5697,0.500927,-4.40925,-3.47571,-12.5353,-7.31048,-8.81513,-10.367,-8.09466,-9.10187,-8.75901,-14.3491,0.663158,-9.39906,-2.90347,-5.57265,-4.76991,-5.46406,-5.98026,-3.68243,-7.34589,-6.58611,-7.8141,-21.2196
473,6162,64,510,182.1,118.302,0.497398,-4.46881,-3.72294,-12.1798,-7.45806,-8.72326,-10.7781,-8.02511,-9.4214,-8.60154,-14.1491,0.552161,-9.399,-2.6596,-5.10916,-4.77093,-5.48511,-6.02647,-3.67779,-7.61799,-6.83966,-7.63138,-21.1192
474,6175,63,665,223.733,137.24,0.503585,-5.04416,-4.04568,-12.0725,-7.7164,-8.49566,-10.9331,-8.24038,-9.2892,-8.49075,-14.4508,0.637156,-9.47262,-2.84824,-4.80594,-4.62389,-5.65875,-6.19514,-3.66388,-7.69171,-7.09718,-7.8398,-21.2828
475,6188,55,733,202.633,140.577,0.516919,-5.10927,-4.1355,-11.8972,-7.79631,-8.11315,-10.9119,-8.32548,-9.29915,-8.1958,-14.5257,0.998833,-9.73947,-2.85798,-4.97303,-4.74682,-5.55141,-6.29398,-3.40149,-7.69016,-7.37489,-7.57809,-21.44
476,6201,66,440,200.933,78.8429,0.547248,-5.33729,-4.36826,-11.6004,-7.92126,-8.40953,-10.4983,-8.87798,-9.13867,-8.08423,-14.4277,1.22775,-9.43873,-2.82198,-4.93425,-4.62,-5.28494,-6.20916,-3.43828,-8.10405,-7.69945,-7.09538,-21.2803
477,6214,72,704,242.133,153.283,0.584472,-6.11683,-4.38547,-11.5679,-8.16838,-8.84122,-11.136,-9.16346,-9.48125,-8.25006,-14.5458,0.798424,-9.8004,-3.03408,-5.02773,-4.99109,-5.46519,-6.16372,-3.21066,-8.23541,-7.71828,-7.05096,-21.8903
478,6227,45,483,189.667,105.112,0.627884,-6.53508,-4.71507,-11.44,-8.66527,-9.18286,-11.2872,-9.22793,-9.55116,-8.24661,-14.559,1.11113,-10.0786,-3.04487,-5.08849,-5.08496,-5.50754,-6.29398,-3.1147,-8.51996,-7.57927,-6.94576,-22.0151
479,6240,53,594,203.8,108.466,0.636317,-6.58346,-4.73971,-11.1467,-8.07102,-9.28479,-11.2621,-9.30834,-9.62602,-8.52664,-14.4828,1.0498,-9.95704,-3.13597,-5.05007,-5.12012,-5.1805,-6.26957,-3.01368,-8.34485,-7.28819,-7.40373,-21.7294
480,6253,37,521,180.067,114.365,0.672085,-6.59888,-5.08974,-10.5798,-8.22431,-9.88219,-11.4153,-9.31631,-10.0445,-9.4047,-14.6088,1.23542,-10.3774,-3.06546,-5.27755,-5.18123,-5.62852,-6.50111,-2.30151,-8.60452,-6.99365,-7.08609,-21.5195
481,6266,66,304,155.467,65.4937,0.693889,-6.69682,-5.03567,-10.2033,-7.99796,-10.0441,-11.4431,-9.49606,-10.1655,-9.0796,-14.5356,0.76171,-10.2561,-3.10537,-5.34035,-4.91365,-6.02023,-6.25276,-2.37441,-8.11856,-6.72284,-7.4975,-21.2021
482,6279,51,391,163.5,75.0429,0.713813,-6.04891,-4.98471,-9.7645,-7.794,-9.36533,-11.6356,-9.49154,-10.2016,-8.9187,-14.2993,0.722356,-9.96938,-2.55042,-4.66796,-4.9813,-5.4038,-6.57258,-1.83372,-7.22144,-6.92425,-6.99732,-20.1983
483,6292,40,672,155.367,120.8,0.736488,-4.92258,-4.98667,-9.75308,-8.15138,-9.0839,-11.791,-9.67927,-9.89698,-8.84103,-14.5942,0.775336,-10.0974,-2.45086,-4.77866,-5.83869,-5.22389,-6.54141,-2.01595,-7.18764,-7.34275,-6.40379,-20.3309
484,6305,25,524,175.567,136.663,0.744513,-5.23488,-4.65999,-10.1526,-8.4783,-9.39315,-12.1305,-9.19999,-9.22786,-8.63136,-14.9796,0.307063,-10.4877,-2.72459,-4.62617,-6.19957,-5.5255,-5.9152,-2.31962,-7.65497,-7.15077,-6.5558,-20.368
485,6318,39,267,149.833,60.539,0.748531,-4.99685,-4.51659,-9.95147,-8.0132,-8.91138,-11.9392,-9.4339,-8.55782,-9.15714,-14.8701,0.694886,-10.5601,-2.94407,-4.80005,-6.39482,-5.23202,-6.17362,-2.70312,-8.08215,-6.97459,-6.89897,-20.687
486,6331,40,485,151.767,98.124,0.767086,-4.84384,-4.72691,-10.2474,-8.18633,-9.73305,-12.3565,-9.75269,-8.5842,-9.11324,-15.295,0.78474,-10.8455,-3.46646,-4.64163,-6.77709,-5.17046,-5.90237,-2.83359,-8.50236,-7.19925,-6.96241,-21.4707
487,6344,39,262,142.667,63.7318,0.784886,-5.10152,-4.46592,-10.7634,-7.63112,-10.4782,-12.4561,-9.37455,-9.02229,-10.1372,-14.9055,0.613942,-11.1519,-3.64558,-4.21088,-6.47474,-5.00609,-5.88251,-2.91896,-8.21183,-6.82288,-7.62307,-22.1196
488,6357,43,417,186.3,101.023,0.800506,-3.87262,-4.84158,-11.2214,-7.24682,-10.0363,-12.3337,-9.07433,-8.67649,-10.0651,-14.4797,0.882551,-10.376,-3.72055,-4.34859,-6.43887,-5.05659,-5.93279,-3.1312,-8.65131,-7.12691,-7.05153,-22.199
489,6370,47,483,192,104.054,0.815353,-3.6975,-4.71274,-11.0407,-7.06171,-9.73923,-12.2185,-8.99055,-9.10264,-10.2043,-14.5754,0.703167,-10.7753,-2.97631,-4.8757,-6.47931,-4.98137,-5.50565,-3.18411,-8.8835,-6.7701,-7.36907,-22.5332
490,6383,63,536,179.9,113.668,0.821034,-3.34887,-4.09541,-11.1645,-7.05146,-9.65282,-12.0368,-8.7266,-9.40371,-10.0256,-14.6139,0.494342,-10.8316,-2.38066,-5.12683,-6.55712,-5.37801,-5.03956,-2.93204,-8.84213,-7.04817,-6.92217,-21.806
491,6396,68,449,163.367,89.1738,0.827973,-3.04073,-4.2146,-10.3351,-6.44273,-9.03186,-12.1659,-8.86167,-9.17455,-9.39507,-14.0965,0.336344,-10.2856,-1.80765,-5.37145,-6.14776,-5.24538,-5.24946,-2.87797,-9.11494,-7.33243,-6.86308,-21.0453
492,6409,53,297,144.767,72.1878,0.845416,-3.379,-4.43156,-10.3681,-6.55039,-9.21126,-12.582,-8.6648,-9.72999,-9.27883,-13.9406,0.0848902,-9.94556,-1.51938,-5.50149,-5.89582,-5.04762,-5.30459,-2.66144,-9.68938,-8.01791,-7.18071,-21.1557
493,6422,48,442,182.533,90.2746,0.842081,-4.28944,-4.75266,-10.7498,-6.71623,-10.0522,-12.6745,-8.17968,-10.5344,-8.9753,-13.5298,-0.543996,-11.0889,-1.57609,-5.31857,-6.04985,-5.23427,-5.64263,-2.77001,-10.7714,-7.40091,-6.6822,-20.9755
494,6435,42,385,144.033,75.9285,0.844583,-4.89678,-4.45991,-11.5484,-7.3084,-9.83526,-12.3114,-8.25454,-10.5146,-8.26067,-13.7268,0.487522,-11.2576,-1.8148,-5.40899,-6.34163,-5.00177,-5.69415,-2.81219,-10.8177,-8.22055,-6.60122,-21.653
495,6448,35,296,125.7,54.2161,0.852493,-4.66408,-4.63437,-11.7324,-7.659,-10.2416,-13.087,-8.59126,-9.93525,-8.51039,-13.5616,0.496977,-11.6535,-1.89137,-4.87904,-7.08768,-5.13005,-5.95895,-3.24096,-11.1057,-8.66704,-6.02151,-21.9106
496,6461,26,334,140.033,71.6483,0.849931,-3.84163,-3.5893,-10.9851,-7.67733,-10.1132,-13.1126,-8.28059,-9.49276,-8.82993,-13.1903,0.411394,-10.7591,-1.74838,-4.98548,-7.134,-4.62224,-5.86525,-2.66838,-10.3007,-8.40382,-5.39818,-21.5128
497,6474,50,397,163.033,92.1795,0.851845,-3.25568,-3.24356,-11.6044,-7.63113,-10.4454,-12.5729,-8.55945,-9.45721,-9.50787,-13.4851,0.83708,-10.3338,-1.53819,-5.73188,-6.64829,-5.12381,-5.77161,-2.59266,-10.2713,-8.25021,-5.06556,-20.9863
