generation,agents,minScore,maxScore,meanScore,standardDeviation,stepSize,w0,w1,w2,w3,w4,w5
1308,7854,2699,100980,29844.9,27666.3,0.0450488,-2.2825,2.40187,-1.66511,-5.95693,-4.13507,-2.18532
1309,7860,928,117226,22410.4,23662.4,0.0441657,-2.27149,2.41736,-1.6636,-5.95652,-4.17035,-2.17766
1310,7866,102,98648,22381.2,23738.5,0.0424174,-2.25969,2.43259,-1.66098,-5.952,-4.19993,-2.16779
1311,7872,1380,124165,27508.9,28874.3,0.044239,-2.24921,2.44771,-1.65983,-5.95279,-4.2358,-2.16118
1312,7878,302,100037,21658,23742.1,0.0428606,-2.25348,2.44228,-1.66081,-5.95464,-4.22548,-2.1648
1313,7884,244,76271,21378.3,20029.6,0.0427757,-2.25791,2.43623,-1.6616,-5.95544,-4.21267,-2.16812
1314,7890,471,148992,31216.7,35056.4,0.0468622,-2.27835,2.40751,-1.66446,-5.95632,-4.14753,-2.18226
1315,7896,437,148644,27508.9,31499.5,0.0493311,-2.28907,2.39272,-1.66612,-5.95756,-4.11488,-2.18998
1316,7902,327,78412,26741.4,22085.4,0.0487035,-2.29321,2.3868,-1.66667,-5.95747,-4.10125,-2.19276
1317,7908,212,144426,21919.3,32328.7,0.0482861,-2.2907,2.38995,-1.66604,-5.95624,-4.10702,-2.19055
1318,7914,557,59901,22424.6,19991.2,0.0498165,-2.28796,2.39346,-1.66545,-5.95515,-4.11394,-2.18824
1319,7920,454,106101,36058.1,29976,0.0544627,-2.30022,2.37573,-1.6668,-5.9542,-4.07189,-2.19593
1320,7926,1185,85341,28442.8,27107.1,0.0614574,-2.31613,2.35424,-1.66969,-5.95753,-4.02658,-2.20818
1321,7932,279,112383,29660.5,29920.1,0.0598255,-2.3039,2.37088,-1.66752,-5.95528,-4.06198,-2.19889
1322,7938,205,59779,18432.9,18562.3,0.0547729,-2.30247,2.37338,-1.66772,-5.95677,-4.06964,-2.19869
1323,7944,256,112754,32069.7,35009.8,0.0495085,-2.30651,2.36698,-1.66773,-5.95472,-4.05228,-2.20041
1324,7950,430,62018,20070.9,15446.1,0.0508752,-2.3228,2.34334,-1.66947,-5.95318,-3.99586,-2.21078
1325,7956,911,70865,20511.7,16795.9,0.0531588,-2.32687,2.33888,-1.67105,-5.95729,-3.99091,-2.21543
1326,7962,370,64302,16701,15865.6,0.0493695,-2.32429,2.34288,-1.67095,-5.95828,-4.00141,-2.21414
1327,7968,352,62098,22871.2,18372.4,0.0450021,-2.3191,2.34957,-1.66969,-5.9561,-4.01389,-2.20946
1328,7974,391,83792,24134.8,24101.9,0.042856,-2.31033,2.36216,-1.66867,-5.95652,-4.04346,-2.20372
1329,7980,217,48281,17555.2,13946.4,0.0412442,-2.3185,2.35035,-1.66957,-5.95588,-4.01545,-2.20904
1330,7986,1310,120408,25339.6,26826.5,0.0423338,-2.32455,2.34211,-1.67064,-5.95698,-3.99796,-2.2137
1331,7992,438,78302,22146.8,18524.9,0.0422672,-2.32479,2.34215,-1.671,-5.95818,-3.99969,-2.21446
1332,7998,1229,111867,30239.5,30354.4,0.0416985,-2.33131,2.33289,-1.67181,-5.95812,-3.97818,-2.2188
1333,8004,2633,64431,24954.3,18539.3,0.0371358,-2.32322,2.34425,-1.6707,-5.95779,-4.00401,-2.21323
