generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21
12,1300,42,433,136.633,81.2936,2.21861,1.24144,-6.01361,-7.20667,-3.38566,-8.22157,0.728186,-5.79788,-2.87465,-8.3605,1.30091,-4.68625,-2.8508,-10.155,-12.0328,-14.3866,-8.88772,-11.6836,-7.68683,-12.0793,-11.2171,-28.8623
13,1400,48,348,142.133,88.6274,1.01044,1.76202,-6.94709,-6.95647,-0.527829,-9.31231,-0.841812,-5.21944,-3.60905,-9.76826,1.04957,-3.50166,-2.27813,-10.0558,-10.4799,-15.128,-10.2266,-10.5392,-6.77743,-10.9375,-9.99701,-29.9565
14,1500,37,498,154.067,107.746,-0.107683,1.5828,-7.61163,-5.93968,0.0363527,-9.19093,-1.31965,-5.35471,-3.15443,-10.1889,3.60986,-4.25743,-2.64169,-9.2103,-9.57093,-14.2154,-9.8786,-10.3112,-7.53071,-10.0476,-8.04638,-30.7674
15,1600,64,423,187.2,97.6459,4.59128,2.92711,-6.94495,-5.53421,0.551718,-10.0604,-0.126778,-5.99009,-2.55047,-10.4819,4.63161,-4.10696,-3.65063,-9.13061,-9.73989,-13.4305,-11.3642,-10.4863,-5.69679,-10.4644,-8.04123,-32.1626
16,1700,54,644,200.5,114.192,-7.59783,3.19848,-6.85853,-5.86084,-0.832956,-8.88317,-0.532835,-6.02159,-2.55031,-9.64979,4.29359,-5.68216,-3.81381,-8.68996,-10.8236,-12.6234,-8.97385,-9.45825,-5.4299,-8.56279,-8.1083,-33.4148
17,1800,40,584,225.133,124.168,-9.27247,2.33008,-7.08749,-5.76452,-0.94295,-9.85026,3.01186,-4.90311,-2.74665,-8.25217,4.70647,-6.33354,-4.83445,-8.99495,-10.0808,-13.3876,-8.32595,-9.65254,-7.16383,-7.77163,-9.82177,-35.656
18,1900,51,471,220.2,117.855,-9.18098,2.57463,-6.96428,-5.05411,-2.68288,-11.5328,2.49135,-6.59635,-2.5124,-10.59,5.45048,-7.2009,-5.93938,-9.02531,-11.3167,-14.2443,-8.08146,-7.76261,-8.3338,-6.63563,-9.16641,-35.9347
19,2000,46,516,207.333,141.381,-14.4924,2.80685,-7.25254,-5.15442,-1.54465,-12.1986,2.339,-6.07635,-2.61863,-10.2898,5.20294,-6.72171,-6.19127,-10.7268,-9.77845,-13.2761,-7.81552,-8.8059,-7.67142,-6.928,-9.42389,-35.6244
20,2100,44,707,288.833,183.891,-12.6646,2.07898,-8.5969,-7.00822,-0.171897,-10.4645,0.785311,-7.13608,-2.16408,-9.85012,5.28751,-7.88545,-7.43408,-10.8152,-9.34443,-13.0228,-9.05404,-8.24379,-7.33748,-7.13619,-7.8307,-39.1248
21,2200,19,1414,371.367,311.539,-13.7479,2.39512,-7.68206,-3.16849,0.313632,-10.566,2.09026,-7.44422,-1.4191,-8.64765,7.04945,-8.18724,-7.00185,-9.99803,-9.39019,-12.709,-11.208,-8.79159,-8.46878,-9.50912,-6.15271,-41.2604
22,2300,60,1111,418,263.459,-12.5346,2.122,-6.85355,-3.28464,0.0500179,-9.3163,2.23886,-7.03233,-0.423816,-8.31257,7.77178,-7.13909,-7.15589,-11.8191,-12.6056,-12.5088,-12.1709,-7.60238,-9.95749,-9.66771,-5.86492,-43.0372
23,2400,28,2862,505.033,619.182,-16.4918,2.95019,-6.14046,-3.35347,-0.620109,-6.7748,1.89052,-5.26924,-2.53904,-7.18344,7.41496,-7.70153,-6.71238,-10.486,-11.15,-11.048,-10.6316,-8.69056,-7.71219,-10.1021,-6.19989,-44.5042
24,2500,111,1113,428.333,272.81,-20.1315,2.72738,-4.72209,-3.8086,-0.873766,-4.24123,1.78193,-6.93041,-1.85979,-7.98872,7.39943,-6.62979,-7.69534,-11.8872,-9.75107,-11.419,-11.9551,-10.6707,-8.34106,-9.17452,-5.93931,-43.7058
25,2600,114,2422,778.433,632.522,-21.922,2.42917,-7.39448,-3.70183,-0.245199,-4.71609,1.09512,-7.74903,-1.13271,-7.48286,5.9508,-7.30581,-7.28973,-12.5831,-10.0308,-10.9026,-12.2583,-10.9891,-6.08726,-10.0632,-4.72291,-45.8442
26,2700,70,2466,924.867,700.694,-19.2266,3.32652,-7.55408,-3.99174,-0.0754909,-2.81967,1.40277,-8.0194,-1.55075,-8.82676,5.7138,-7.49066,-7.2238,-12.2603,-10.3567,-10.5081,-12.0424,-11.0807,-5.65469,-11.0885,-4.37452,-48.2408
27,2800,93,1449,475.3,330.483,-18.8888,5.17821,-6.58014,-4.1632,-1.96181,-1.94023,3.02453,-7.54824,-1.61532,-10.7748,4.28252,-8.76875,-6.11769,-11.6554,-12.1737,-9.17713,-13.9637,-10.9826,-5.92893,-13.1816,-5.23318,-48.7806
