generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21
66,6700,5,1030,357.833,238.453,10.8217,-1.15716,-15.4373,-7.27847,-17.4537,-4.04193,-13.5417,-12.5361,-8.23464,-14.2679,-2.05256,-15.5699,-8.26971,-14.4148,-12.9395,-11.3424,-10.3535,-7.7854,-8.28608,-11.298,-6.67416,-53.0607
67,6800,41,857,324.133,198.93,10.6073,-1.09726,-15.6886,-7.01606,-17.4549,-4.0438,-13.7022,-12.4045,-8.23554,-14.2712,-2.08691,-15.6016,-8.13574,-14.3208,-12.9988,-11.3726,-10.3588,-7.7685,-8.22347,-11.2951,-6.48608,-53.0319
68,6900,43,1001,342.8,240.546,10.5724,-1.14403,-15.5566,-6.61349,-17.4574,-4.04442,-13.6099,-12.4794,-8.23401,-14.2804,-2.16814,-15.5788,-8.08821,-14.6028,-12.8292,-11.3192,-10.3353,-7.74511,-8.15969,-11.29,-6.32464,-53.0183
69,7000,30,791,297.3,229.39,10.4735,-1.12706,-15.5145,-6.22545,-17.4577,-4.04598,-13.5529,-12.4055,-8.23413,-14.2849,-2.14641,-15.5141,-7.82165,-14.371,-12.9033,-11.2229,-10.3537,-7.74199,-8.27748,-11.2778,-6.23245,-53.0077
70,7100,123,994,391.2,234.556,10.4419,-1.28608,-15.3289,-6.14735,-17.4589,-4.04418,-13.4983,-12.4539,-8.23357,-14.2884,-2.13149,-15.4903,-7.57114,-14.3959,-12.2005,-11.1144,-10.3457,-7.73827,-8.32692,-11.2845,-6.25809,-53.0247
71,7200,26,1120,365.367,256.466,10.5241,-1.37358,-15.1889,-6.1451,-17.4587,-4.03934,-13.4936,-12.4177,-8.2328,-14.2854,-2.13406,-15.507,-7.34186,-14.8683,-12.2932,-11.2777,-10.3529,-7.73835,-8.26347,-11.2889,-6.20588,-53.0291
72,7300,28,1310,359,300.497,10.4447,-1.23361,-15.2431,-6.1853,-17.4591,-4.03951,-13.4766,-12.4708,-8.23254,-14.2853,-2.15342,-15.5251,-7.54204,-15.0655,-12.2455,-11.1645,-10.3477,-7.74034,-8.20948,-11.291,-6.16262,-53.0408
73,7400,17,1365,379.567,298.622,10.3538,-1.30541,-14.992,-6.29733,-17.4598,-4.04103,-13.5129,-12.4557,-8.23325,-14.2872,-2.16649,-15.5054,-7.63868,-15.1383,-12.1991,-11.2881,-10.3453,-7.7394,-8.12835,-11.2861,-6.23408,-53.0606
74,7500,59,1133,342.433,281.795,10.3753,-1.3377,-14.876,-6.14262,-17.4623,-4.04001,-13.5113,-12.5016,-8.23308,-14.2876,-2.13541,-15.5063,-7.71417,-14.9622,-12.2028,-11.2262,-10.3464,-7.73846,-8.12445,-11.2932,-6.16793,-53.0248
75,7600,25,1096,302.167,237.46,10.4062,-1.47749,-14.7778,-5.9823,-17.4623,-4.03964,-13.4893,-12.5045,-8.23481,-14.2871,-2.13592,-15.5152,-8.09931,-14.9576,-12.1311,-11.2288,-10.3453,-7.73997,-8.10828,-11.2941,-6.0986,-53.0465
76,7700,77,1167,362.8,256.336,10.4053,-1.57406,-14.8013,-6.31946,-17.4633,-4.03878,-13.5189,-12.5386,-8.23285,-14.2871,-2.1507,-15.5108,-8.12292,-14.9373,-12.1947,-11.2242,-10.3449,-7.73766,-8.04605,-11.2966,-6.05807,-53.0529
77,7800,80,964,381.333,250.485,10.3846,-1.47985,-14.7059,-6.39588,-17.4639,-4.03786,-13.5227,-12.5452,-8.23135,-14.2869,-2.1431,-15.5026,-8.20613,-14.8859,-12.1483,-11.2926,-10.3454,-7.73437,-8.04921,-11.2969,-6.05356,-53.0513
78,7900,104,1197,305.933,214.763,10.4343,-1.44301,-14.7269,-6.39848,-17.464,-4.0373,-13.5418,-12.585,-8.22962,-14.2868,-2.16349,-15.5199,-8.05559,-14.9118,-11.9933,-11.2156,-10.3463,-7.7305,-8.02856,-11.2982,-6.03591,-53.058
79,8000,60,801,305.867,230.022,10.4436,-1.44082,-14.7831,-6.34778,-17.4626,-4.03654,-13.5203,-12.501,-8.22933,-14.2883,-2.17254,-15.5217,-8.00965,-14.9711,-11.9303,-11.0296,-10.3461,-7.73097,-8.03904,-11.3006,-6.03089,-53.0577
80,8100,32,1154,353.833,275.664,10.4663,-1.44251,-14.909,-6.34361,-17.4625,-4.03653,-13.5031,-12.5788,-8.22855,-14.2874,-2.19325,-15.5256,-7.91815,-14.9581,-11.9888,-11.1468,-10.3493,-7.73288,-8.02202,-11.3032,-6.04748,-53.0596
