generation,agents,minScore,maxScore,meanScore,standardDeviation,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21
67,6800,30,210,104.6,53.1806,4.87825,-1.27701,-8.30614,-6.67384,-5.55,-10.3648,-6.98794,-1.06493,-12.455,-12.8022,2.05459,-7.02514,-1.93213,-7.94696,-7.14409,-8.00627,-2.29192,-8.32985,-4.73446,-0.8424,-20.0714,-25.4576
68,6900,3,358,100.767,70.5748,4.87774,-1.24587,-8.30753,-6.67406,-5.54852,-10.3634,-6.98573,-1.0639,-12.4547,-12.7788,2.05552,-7.02504,-1.911,-7.94724,-7.14391,-8.0051,-2.29202,-8.32542,-4.73457,-0.842404,-20.0737,-25.4594
69,7000,40,242,106.533,58.8116,4.87862,-1.26969,-8.30689,-6.67355,-5.55199,-10.3651,-6.98555,-1.06261,-12.4546,-12.761,2.05517,-7.02486,-1.92532,-7.94905,-7.14399,-8.00539,-2.2919,-8.32455,-4.73463,-0.842381,-20.0559,-25.4597
70,7100,34,192,88.2333,40.9353,4.87878,-1.33094,-8.30735,-6.67187,-5.55073,-10.3653,-6.98638,-1.06229,-12.4546,-12.7729,2.05476,-7.02488,-1.95207,-7.94986,-7.14408,-8.00538,-2.29168,-8.32101,-4.73461,-0.842368,-20.0131,-25.46
71,7200,30,222,90.8,46.914,4.8794,-1.3706,-8.30614,-6.67066,-5.55157,-10.3655,-6.98801,-1.06196,-12.4546,-12.7749,2.05384,-7.02486,-1.9259,-7.94943,-7.14396,-8.00521,-2.29143,-8.32111,-4.73458,-0.842407,-19.9882,-25.4586
72,7300,35,229,97.1667,44.9307,4.87902,-1.3592,-8.3058,-6.6708,-5.55139,-10.365,-6.9878,-1.06138,-12.4554,-12.7879,2.05292,-7.02491,-1.88189,-7.94931,-7.14406,-8.00566,-2.29152,-8.31514,-4.73434,-0.842399,-19.987,-25.4578
73,7400,22,279,99.4667,58.975,4.87844,-1.36656,-8.30573,-6.67255,-5.55438,-10.3642,-6.98809,-1.06157,-12.4547,-12.7679,2.05184,-7.02496,-1.84883,-7.95054,-7.144,-8.00662,-2.29144,-8.31347,-4.73447,-0.842387,-20.0098,-25.4576
74,7500,34,278,107.2,52.9459,4.87854,-1.36527,-8.30508,-6.67341,-5.55307,-10.3648,-6.98696,-1.06138,-12.455,-12.7535,2.0527,-7.02495,-1.84786,-7.94972,-7.14385,-8.0087,-2.29129,-8.30893,-4.73444,-0.842404,-20.0131,-25.4583
75,7600,35,204,85.4667,38.9223,4.87963,-1.33631,-8.30464,-6.67209,-5.55344,-10.365,-6.98642,-1.06141,-12.4549,-12.7879,2.05219,-7.02479,-1.86835,-7.94996,-7.1438,-8.00848,-2.29138,-8.3091,-4.73458,-0.842394,-19.9921,-25.4582
76,7700,23,278,113.6,60.4179,4.87976,-1.3477,-8.30524,-6.67274,-5.55258,-10.3654,-6.98593,-1.0613,-12.455,-12.7884,2.05133,-7.02484,-1.88014,-7.94876,-7.14386,-8.00978,-2.29102,-8.29966,-4.735,-0.842394,-20.0098,-25.4584
77,7800,40,164,90.1,32.3028,4.88013,-1.34722,-8.30522,-6.67292,-5.55386,-10.3656,-6.98603,-1.06136,-12.4551,-12.796,2.05105,-7.02484,-1.88371,-7.94975,-7.14384,-8.01054,-2.29073,-8.30227,-4.73494,-0.842391,-20.0144,-25.4582
78,7900,46,260,100.9,46.9962,4.88012,-1.3489,-8.3053,-6.67239,-5.55392,-10.3655,-6.98614,-1.06125,-12.4553,-12.8151,2.04979,-7.02485,-1.88202,-7.94979,-7.14382,-8.01221,-2.29114,-8.30412,-4.73483,-0.842396,-20.016,-25.458
79,8000,38,231,99.6,50.8545,4.88034,-1.35761,-8.30516,-6.67475,-5.55386,-10.3656,-6.98585,-1.06118,-12.4553,-12.8149,2.04913,-7.02487,-1.86651,-7.94933,-7.1438,-8.01097,-2.29147,-8.30748,-4.73485,-0.842394,-20.0185,-25.458
80,8100,28,278,110.767,52.3072,4.88033,-1.35415,-8.30513,-6.67394,-5.55361,-10.3655,-6.98576,-1.06126,-12.4553,-12.82,2.05011,-7.02489,-1.8807,-7.94938,-7.14382,-8.01199,-2.29185,-8.30894,-4.73488,-0.842398,-20.0199,-25.4582
